256 1989
1 151 70
1 201 22
1 171 90
1 60 -52
1 179 72
1 56 4
1 125 17
1 60 -75
1 221 49
1 17 83
1 31 61
1 40 -83
1 65 59
1 240 -30
1 3 -99
1 7 9
2 49 -30
2 111 -12
2 180 -56
2 56 23
2 197 55
2 213 39
2 213 -92
2 203 -71
2 59 13
2 161 -100
2 128 -39
2 199 23
2 39 51
2 220 26
2 36 -33
2 131 93
3 63 93
3 134 96
3 65 -52
3 190 14
3 151 -35
3 205 11
3 179 42
3 57 -25
3 69 14
3 171 -48
3 32 -55
3 60 33
3 143 42
3 115 -15
4 243 33
4 48 -56
4 60 14
4 155 83
4 65 62
4 202 -7
4 209 -75
4 189 -41
4 83 40
4 133 39
4 101 -52
4 89 63
4 135 -52
4 121 9
4 205 -79
4 135 19
5 35 -2
5 190 -21
5 198 -20
5 187 83
5 137 -68
5 121 -81
5 70 34
5 256 1
5 52 70
5 14 3
5 121 15
5 143 17
5 128 77
5 138 -59
5 43 14
5 175 -95
6 245 -47
6 230 -11
6 179 15
6 233 36
6 104 75
6 101 -30
6 138 -54
6 73 20
6 242 12
6 205 53
6 205 84
6 194 16
6 168 52
6 201 7
7 240 48
7 209 78
7 74 64
7 40 -58
7 130 -33
7 48 -43
7 195 75
7 168 38
7 112 25
7 111 -92
7 56 92
7 81 30
7 82 48
7 249 -24
7 15 90
7 75 -72
8 48 42
8 168 -15
8 136 -70
8 163 37
8 126 -51
8 43 87
8 106 -55
8 97 28
8 26 11
8 178 -62
8 71 -24
8 105 49
8 30 1
8 60 76
8 125 -21
9 197 71
9 142 23
9 18 -94
9 198 -25
9 25 41
9 68 16
9 177 92
9 157 37
9 245 -56
9 71 59
9 97 -46
9 17 -76
9 233 -23
9 75 -49
9 128 -26
9 198 9
10 151 55
10 153 -13
10 153 -29
10 181 42
10 121 -14
10 65 -62
10 86 -92
10 255 99
10 165 -100
10 200 -17
10 39 15
10 231 -91
10 196 -5
10 97 21
10 120 83
11 137 -50
11 178 -13
11 135 15
11 89 -60
11 43 69
11 96 -46
11 68 91
11 166 51
11 217 10
11 61 52
11 30 19
11 142 85
11 232 41
11 86 -69
11 116 82
11 76 -45
12 186 16
12 223 -65
12 86 -21
12 101 -82
12 74 25
12 157 -63
12 165 82
12 231 13
12 88 -56
12 170 -63
12 140 28
12 122 -22
12 193 -63
12 25 -79
12 77 42
12 98 -50
13 22 -89
13 154 33
13 20 43
13 200 14
13 228 -17
13 234 68
13 208 -77
13 214 -61
13 122 -52
13 131 -80
13 142 19
13 231 48
13 37 13
13 52 -32
13 48 81
14 35 36
14 94 38
14 152 8
14 135 -100
14 152 -63
14 84 16
14 32 22
14 250 -71
14 242 96
14 83 48
14 175 82
14 195 12
14 54 -27
14 29 -58
14 220 47
14 72 -23
15 208 9
15 230 -52
15 254 -11
15 185 -46
15 253 -29
15 63 -88
15 189 7
15 125 88
15 150 3
15 144 6
15 38 15
15 40 -62
15 80 17
15 145 9
16 138 0
16 46 47
16 182 36
16 80 -11
16 138 35
16 132 49
16 237 -59
16 249 37
16 193 2
16 36 -21
16 92 -57
16 114 -2
16 147 -72
16 26 6
16 24 91
17 115 70
17 36 -74
17 53 99
17 67 68
17 230 8
17 38 -64
17 222 -63
17 169 83
17 43 -99
17 197 -36
17 60 -3
17 83 -70
17 197 -12
17 88 -16
18 174 -61
18 237 -56
18 23 67
18 48 -6
18 207 30
18 173 -4
18 248 58
18 253 -29
18 96 -3
18 248 -38
18 227 -22
18 121 -10
18 166 -90
18 111 29
18 246 13
19 105 -41
19 20 40
19 75 -9
19 55 22
19 82 31
19 32 64
19 48 -88
19 120 38
19 60 71
19 53 -31
19 236 18
19 152 -28
19 22 45
20 197 -86
20 69 12
20 231 77
20 126 -69
20 132 -48
20 186 60
20 111 -21
20 134 11
20 251 -99
20 244 -83
20 146 68
20 88 -24
20 93 -8
21 137 -10
21 39 -52
21 125 -40
21 46 -80
21 147 64
21 47 -58
21 25 -12
21 225 13
21 216 -77
21 195 2
21 221 8
21 197 -66
22 49 33
22 185 53
22 77 57
22 166 27
22 33 66
22 78 54
22 222 -28
22 23 83
22 223 58
22 56 80
22 68 66
22 62 -81
22 187 -59
22 165 -60
22 228 -37
22 49 8
23 50 -80
23 55 -54
23 120 81
23 209 25
23 193 -53
23 28 -89
23 219 72
23 184 -7
23 95 -21
23 226 55
23 177 -8
23 246 25
23 147 90
23 111 76
23 223 29
23 210 48
24 80 -15
24 102 -61
24 240 -44
24 114 -85
24 78 -21
24 75 12
24 180 -11
24 193 -24
24 35 61
24 214 -96
24 78 -100
24 47 1
24 114 63
24 200 -87
25 255 -81
25 157 61
25 222 -50
25 243 63
25 115 89
25 94 -42
25 56 -64
25 35 -21
25 137 -77
25 26 97
25 206 77
25 250 79
25 215 -64
25 73 -94
25 146 -60
26 63 92
26 39 77
26 99 -28
26 122 -52
26 211 -56
26 182 -61
26 210 76
26 205 -26
26 114 -40
26 47 -49
26 79 87
26 68 51
26 77 45
26 190 88
27 228 -44
27 97 31
27 46 -92
27 42 -36
27 193 -58
27 238 -82
27 234 -76
27 175 -70
27 58 60
27 57 41
27 162 82
27 122 54
27 102 34
27 52 80
27 254 98
27 184 86
28 194 24
28 248 -42
28 108 -85
28 237 -93
28 150 11
28 249 44
28 228 -20
28 184 55
28 256 64
28 229 -14
28 247 -42
28 205 -7
28 190 13
28 131 0
28 100 33
29 31 52
29 117 -94
29 244 73
29 117 83
29 110 -88
29 105 14
29 55 -24
29 106 -24
29 181 43
29 88 25
29 59 -93
29 194 20
30 117 57
30 104 -62
30 94 -46
30 67 0
30 119 28
30 178 -55
30 108 0
30 133 -95
30 117 11
30 210 0
30 192 25
30 203 34
30 209 49
31 32 28
31 237 -36
31 236 16
31 172 -8
31 186 -59
31 240 99
31 250 89
31 100 6
31 226 -32
31 58 -19
31 38 -22
31 40 -10
31 248 92
31 184 9
31 248 -33
32 60 -94
32 118 30
32 149 62
32 179 -97
32 53 96
32 74 91
32 149 -93
32 95 72
32 65 26
32 241 5
32 149 -58
32 144 17
32 225 45
32 73 -63
32 70 37
33 68 19
33 34 10
33 251 31
33 47 12
33 108 -27
33 171 -7
33 145 58
33 133 -10
33 222 64
33 41 -49
33 202 -66
33 138 3
33 63 -30
33 50 -42
33 225 84
34 203 -15
34 253 -68
34 178 31
34 110 -29
34 82 77
34 164 55
34 152 45
34 82 -28
34 123 -52
34 89 -95
34 246 -69
34 128 60
34 216 -14
34 240 -34
34 51 -20
34 60 -4
35 214 -45
35 147 -36
35 236 -60
35 255 -82
35 122 3
35 252 43
35 71 59
35 153 35
35 191 -94
35 139 -38
35 221 -78
35 229 82
35 144 31
35 220 64
35 82 -35
36 69 -60
36 241 -89
36 194 6
36 119 99
36 152 -74
36 239 -72
36 144 -21
36 231 24
36 246 76
36 141 98
36 183 72
36 52 -20
36 99 4
36 242 46
37 223 8
37 86 -78
37 204 86
37 222 65
37 100 64
37 203 68
37 160 -48
37 116 57
37 143 -81
37 241 -74
37 172 7
37 227 -86
37 65 63
37 70 64
38 198 52
38 130 55
38 46 51
38 256 23
38 43 -22
38 188 84
38 203 86
38 253 42
38 51 16
38 202 -69
38 175 -77
38 204 -57
38 165 -47
38 39 -88
39 243 68
39 52 -66
39 105 8
39 222 79
39 191 -52
39 163 -82
39 102 -91
39 166 -43
39 138 76
39 67 -98
39 115 -29
39 142 13
39 45 -26
40 248 23
40 204 -88
40 61 -1
40 142 69
40 120 44
40 150 90
40 88 -17
40 119 92
40 67 52
40 79 8
40 41 -73
41 52 -49
41 101 -100
41 101 59
41 69 52
41 183 17
41 160 15
41 77 23
41 72 54
41 79 5
41 99 -47
41 253 68
41 106 -39
42 54 44
42 158 -1
42 198 -58
42 99 -8
42 107 21
42 134 27
42 222 -56
42 225 90
42 213 40
42 120 18
42 144 -36
42 107 -12
42 217 -18
43 236 -9
43 135 7
43 77 44
43 46 75
43 152 -54
43 235 68
43 82 -59
43 174 67
43 45 95
43 199 74
43 54 96
43 170 76
44 153 82
44 240 3
44 98 82
44 77 -99
44 213 -27
44 255 37
44 146 66
44 223 54
44 195 -40
44 140 56
44 236 -58
44 230 73
44 107 12
44 189 91
45 118 -35
45 168 79
45 112 53
45 232 40
45 191 84
45 134 5
45 200 64
45 229 -78
45 141 -6
45 224 31
45 58 -62
45 58 73
45 95 -33
46 169 96
46 142 70
46 242 -18
46 232 -65
46 181 48
46 254 -95
46 71 65
46 252 -44
46 225 -79
46 200 11
46 163 10
46 135 -51
46 94 93
47 81 -42
47 59 -91
47 220 -32
47 184 -69
47 81 12
47 173 24
47 187 -88
47 181 -91
47 224 -76
47 55 1
47 98 66
47 222 -47
47 140 -44
48 184 -32
48 173 -69
48 139 -60
48 250 -74
48 210 -48
48 180 -67
48 76 -1
48 237 -13
48 163 60
48 117 78
48 58 -62
48 138 93
48 227 -41
49 54 54
49 56 23
49 233 -41
49 63 82
49 145 75
49 108 -52
49 183 -19
49 203 -48
49 52 -8
49 232 74
49 55 -76
49 67 -43
49 230 -48
49 209 62
50 243 -76
50 151 -79
50 213 -23
50 200 -3
50 202 -90
50 224 -1
50 153 -22
50 65 -62
50 140 10
50 102 -82
50 190 -42
51 94 80
51 176 21
51 195 67
51 107 -75
51 69 74
51 173 6
51 195 -8
51 112 98
51 148 11
51 52 80
51 195 37
51 220 -47
52 255 10
52 240 -95
52 191 18
52 190 28
52 254 -67
52 112 13
52 217 10
52 199 98
52 184 41
52 237 -71
52 241 -26
52 101 80
52 188 -20
52 182 -55
53 248 45
53 98 -55
53 160 -98
53 66 26
53 167 58
53 91 -11
53 69 13
53 113 -13
53 61 -70
53 200 68
53 218 -13
53 170 95
54 250 -10
54 92 47
54 210 8
54 56 -27
54 69 -12
54 219 76
54 231 -20
54 178 97
54 142 -32
54 67 -38
55 145 35
55 56 63
55 240 -28
55 108 26
55 176 84
55 238 2
55 156 -86
55 181 -17
55 231 -73
55 239 4
55 82 77
55 123 -75
55 56 -82
55 180 8
56 218 -23
56 162 10
56 230 -42
56 185 -41
56 93 -33
56 219 -19
56 242 -71
56 218 -76
56 84 -76
56 115 -41
56 159 -89
56 135 -12
56 212 -63
57 136 -1
57 100 70
57 71 67
57 168 26
57 218 -72
57 107 51
57 109 25
57 168 -19
57 71 11
57 101 -41
57 82 55
57 230 59
57 179 -85
58 101 98
58 81 88
58 71 -3
58 181 -38
58 142 -63
58 235 93
58 139 -28
58 103 -5
58 121 -77
58 220 -90
58 172 -1
58 215 -13
58 167 40
58 191 44
59 235 -82
59 89 -93
59 240 -25
59 72 -6
59 61 -7
59 214 -34
59 70 -49
59 137 79
59 109 52
60 194 50
60 232 64
60 133 -21
60 87 -43
60 234 96
60 236 -21
60 177 50
60 227 -61
60 163 -60
60 243 -39
60 140 71
61 115 93
61 138 69
61 147 -19
61 221 -6
61 74 51
61 232 -56
61 62 92
61 127 -15
61 106 -30
61 230 42
61 122 -47
61 75 -12
61 224 -41
61 92 -43
61 126 30
62 95 55
62 213 76
62 169 -94
62 192 -78
62 238 -3
62 69 -58
62 184 58
62 98 57
62 94 50
62 153 11
62 107 82
62 187 -65
62 74 -20
62 109 18
63 144 80
63 147 -8
63 186 19
63 91 -52
63 81 16
63 88 -15
63 135 -3
63 221 75
63 185 54
63 91 -73
63 151 98
63 82 56
63 180 -48
63 144 45
64 243 -36
64 191 40
64 150 95
64 227 64
