2048 47136
1 1135 49
1 1019 91
1 168 90
1 368 -89
1 1973 -20
1 1850 -21
1 1347 74
1 1072 23
1 1889 63
1 1638 55
1 729 -96
1 1156 82
1 198 60
1 100 -45
1 1258 -4
1 1673 32
1 869 -15
1 1890 73
1 1035 97
1 991 -20
1 633 4
1 522 93
1 1483 -96
1 1309 -74
1 932 30
1 1597 28
1 17 64
1 826 66
1 509 -43
1 1890 -32
1 1481 -100
1 951 -43
1 1733 40
1 428 -98
1 1380 83
1 2047 88
1 1403 -60
1 1501 -71
1 901 53
1 459 -81
1 1288 49
1 1810 -12
1 1894 95
1 1036 -66
1 1270 -48
1 771 -94
2 398 60
2 89 70
2 855 53
2 1816 -3
2 554 34
2 910 4
2 329 2
2 1782 -1
2 1291 48
2 237 -88
2 737 -42
2 1256 -60
2 1601 -47
2 1022 67
2 1289 51
2 677 -11
2 1490 -19
2 799 36
2 128 -48
2 373 -98
2 157 66
2 675 13
2 2041 10
2 1513 -51
2 74 57
2 1383 -38
2 1615 -30
2 1198 -22
2 759 41
2 354 -88
2 608 53
2 1347 -62
2 1774 -88
2 240 -29
2 1430 -52
2 1631 -52
2 1340 94
2 1657 -41
2 991 -78
2 1288 83
2 1426 71
2 440 -54
2 301 -60
2 2015 26
2 1030 58
2 1572 -66
3 1884 -69
3 568 -78
3 2018 44
3 143 43
3 329 -68
3 713 -36
3 482 89
3 333 38
3 943 -37
3 1241 93
3 896 66
3 1356 -97
3 829 12
3 635 61
3 803 85
3 1162 -38
3 2006 -17
3 322 18
3 1392 -93
3 1231 -89
3 269 -20
3 855 -23
3 2024 48
3 73 -54
3 692 -72
3 28 4
3 153 26
3 116 -28
3 212 5
3 834 96
3 135 -7
3 1500 95
3 202 50
3 962 -84
3 1111 41
3 737 -56
3 1377 -73
3 2025 88
3 506 -81
3 373 -57
3 1850 39
3 1760 -87
3 1143 -13
3 1293 90
3 612 -9
3 295 -70
4 657 -18
4 789 66
4 678 58
4 1345 89
4 702 -77
4 1515 -29
4 2019 8
4 1751 79
4 767 -60
4 830 32
4 605 -24
4 520 -7
4 818 -89
4 530 -74
4 182 73
4 278 -73
4 860 96
4 798 -48
4 1787 -25
4 1020 86
4 36 -23
4 1296 -64
4 1011 84
4 1954 -80
4 2000 91
4 144 90
4 927 -88
4 1164 22
4 1840 -84
4 332 65
4 1642 -52
4 1392 72
4 1888 91
4 1042 -3
4 1848 -95
4 1801 -98
4 1945 46
4 223 -37
4 1981 -74
4 243 38
4 417 -64
4 1141 -94
4 1954 43
4 642 -91
4 713 44
4 2041 75
5 1164 -41
5 69 -97
5 1042 -39
5 281 -87
5 88 -8
5 744 27
5 449 -15
5 1773 -28
5 394 -74
5 306 68
5 44 -11
5 547 -81
5 493 8
5 1494 -3
5 1082 -85
5 794 -27
5 2044 -100
5 36 -15
5 687 -70
5 1140 22
5 963 80
5 897 -91
5 929 -65
5 1307 -34
5 620 77
5 1867 54
5 1292 -47
5 1590 -72
5 447 0
5 185 53
5 1225 2
5 1545 83
5 780 -94
5 844 37
5 114 88
5 1284 -92
5 969 -86
5 992 54
5 739 65
5 1782 -7
5 72 -50
5 1281 -2
5 1148 -4
5 1792 37
5 547 68
5 803 39
6 1550 -27
6 880 -43
6 428 -7
6 1643 -34
6 1364 99
6 1596 63
6 1211 76
6 583 8
6 961 57
6 867 -7
6 225 86
6 697 34
6 255 88
6 1522 8
6 1611 -39
6 1376 -32
6 1471 -19
6 1614 -18
6 1808 34
6 1816 88
6 661 -60
6 1248 43
6 1930 -34
6 680 -32
6 1042 -76
6 1843 -35
6 1768 50
6 193 -55
6 574 -3
6 906 -74
6 83 48
6 1874 -39
6 911 55
6 950 -54
6 156 34
6 1651 -68
6 1175 70
6 527 -87
6 28 -35
6 946 67
6 427 95
6 1710 80
6 1308 50
6 586 18
6 602 -38
6 1419 -4
7 1546 61
7 1158 -25
7 1500 5
7 466 -75
7 526 73
7 570 -7
7 1583 72
7 939 -49
7 901 -73
7 320 -25
7 1173 -98
7 1281 -42
7 662 -44
7 1824 61
7 210 -98
7 973 81
7 2023 84
7 1488 -69
7 1051 -34
7 74 42
7 1726 9
7 1399 55
7 1568 7
7 1975 -74
7 1210 -49
7 1304 54
7 1834 64
7 735 26
7 1254 -24
7 374 41
7 1871 -22
7 1664 -46
7 22 2
7 95 -51
7 1795 -92
7 121 76
7 251 73
7 369 -65
7 2044 -35
7 992 -87
7 1638 -86
7 404 -28
7 525 70
7 1802 -9
7 1202 18
8 1969 -13
8 971 -30
8 1302 -43
8 1477 -8
8 415 -73
8 1072 84
8 1580 -36
8 296 -20
8 1088 -5
8 1468 -5
8 1251 -22
8 1151 -22
8 1593 -75
8 200 -57
8 491 47
8 235 5
8 1503 26
8 1388 25
8 1194 46
8 471 -37
8 1303 73
8 703 -7
8 1350 -97
8 959 -46
8 1697 -79
8 1060 95
8 772 39
8 1832 46
8 918 6
8 1436 -78
8 583 60
8 265 1
8 780 -63
8 67 75
8 1383 0
8 573 59
8 770 74
8 1076 -41
8 1986 -2
8 1839 77
8 606 19
8 660 10
8 746 35
8 1666 -66
8 1206 48
8 687 93
9 2002 -30
9 1338 74
9 803 -83
9 1283 -12
9 1087 -32
9 1230 24
9 51 45
9 1811 23
9 1895 20
9 433 29
9 632 -49
9 1821 -18
9 38 65
9 1916 -49
9 1324 80
9 747 95
9 1543 -21
9 738 -86
9 2025 54
9 900 -54
9 665 -24
9 335 65
9 792 20
9 236 53
9 730 -86
9 1141 71
9 293 44
9 477 -74
9 498 -15
9 1759 -2
9 840 -99
9 1035 46
9 1994 -45
9 580 66
9 1611 22
9 999 86
9 710 -68
9 1411 -14
9 1733 -24
9 693 -76
9 954 -23
9 1318 -35
9 1218 -69
9 1161 -30
9 598 -7
9 96 68
10 848 24
10 1940 -50
10 211 -79
10 1731 65
10 737 -70
10 1603 52
10 143 -40
10 1029 78
10 1786 -96
10 484 -65
10 1591 -38
10 1949 13
10 605 0
10 1255 36
10 201 -8
10 326 10
10 1091 84
10 1493 -99
10 1561 67
10 1003 -82
10 1666 -67
10 1903 -90
10 571 90
10 1013 -97
10 1055 33
10 314 65
10 1762 72
10 1064 64
10 1555 26
10 1625 52
10 146 -5
10 266 -59
10 1260 93
10 1924 -83
10 903 89
10 414 57
10 717 52
10 206 -25
10 1346 46
10 864 98
10 2023 30
10 416 43
10 702 -42
10 1580 -59
10 421 -40
10 1979 -7
11 326 -68
11 1551 -45
11 1879 -20
11 1248 97
11 1289 8
11 424 -1
11 1348 88
11 505 -29
11 1626 24
11 737 19
11 1498 37
11 792 -57
11 1879 34
11 2007 21
11 1829 -49
11 331 29
11 876 -5
11 909 -2
11 489 84
11 227 16
11 126 -78
11 1448 -63
11 1004 71
11 76 -27
11 1013 -86
11 718 -48
11 1059 65
11 1402 35
11 1550 -89
11 514 50
11 973 -56
11 1869 23
11 942 36
11 1831 -36
11 1575 80
11 1372 -79
11 1813 88
11 1840 25
11 834 63
11 1472 -9
11 1515 -54
11 1197 -62
11 1236 -45
11 1874 -44
11 703 38
11 1481 -78
12 1891 -20
12 971 40
12 786 -83
12 1666 -70
12 200 51
12 1288 -33
12 1519 -68
12 1031 64
12 172 18
12 1416 -26
12 607 4
12 62 -92
12 31 -66
12 1297 -85
12 145 -26
12 1104 74
12 2022 -13
12 450 15
12 350 46
12 1648 21
12 1934 47
12 216 -36
12 1040 -59
12 1729 -100
12 992 -22
12 1464 62
12 95 -16
12 89 91
12 238 13
12 1987 57
12 289 45
12 1616 -7
12 502 -27
12 100 30
12 1383 -47
12 1331 -93
12 1373 -8
12 1250 88
12 267 5
12 2006 -20
12 983 18
12 185 2
12 1427 10
12 833 0
12 786 -74
12 1594 -36
13 868 -52
13 606 59
13 1322 -14
13 1296 -3
13 1262 -44
13 876 -85
13 197 38
13 2010 78
13 24 28
13 87 97
13 984 11
13 47 -99
13 1776 45
13 553 -59
13 826 46
13 1134 89
13 1814 98
13 1849 58
13 1519 -92
13 2006 46
13 1661 78
13 923 14
13 677 -57
13 1244 91
13 278 44
13 520 -57
13 1279 -100
13 1219 -95
13 1470 5
13 1886 -41
13 1241 82
13 1518 82
13 1364 78
13 460 17
13 1627 48
13 526 19
13 36 17
13 90 -71
13 820 50
13 767 -5
13 64 26
13 1725 49
13 82 -78
13 1640 68
13 1778 80
13 1114 24
14 198 -20
14 1109 -38
14 711 -68
14 888 -88
14 1513 -1
14 216 61
14 828 -65
14 186 -34
14 1825 7
14 1864 -85
14 647 38
14 1326 -91
14 1471 16
14 1134 -48
14 1356 35
14 224 -22
14 1578 -79
14 1514 -81
14 339 -56
14 218 98
14 1052 14
14 1857 -93
14 103 70
14 899 77
14 90 -26
14 1862 64
14 2037 96
14 1986 -43
14 1611 10
14 1117 34
14 1394 39
14 938 -8
14 859 -99
14 1479 59
14 1399 -14
14 543 -16
14 253 90
14 1468 26
14 939 91
14 839 -29
14 133 45
14 1736 -84
14 1934 -22
14 654 -41
14 703 85
15 1048 -16
15 696 61
15 1002 -81
15 1035 -72
15 789 -14
15 1128 25
15 1138 37
15 1781 27
15 572 75
15 151 42
15 1553 31
15 1141 -27
15 357 -45
15 1700 -76
15 207 -22
15 1865 -75
15 310 -51
15 1244 -6
15 1432 -44
15 1447 -78
15 588 63
15 928 95
15 100 66
15 1743 -45
15 1569 3
15 311 73
15 378 58
15 859 -31
15 1159 87
15 25 57
15 721 55
15 1120 -12
15 1916 27
15 1677 -81
15 319 80
15 590 -26
15 191 61
15 871 53
15 254 -9
15 2022 -40
15 1248 34
15 1396 20
15 975 4
15 640 -61
15 1035 5
16 831 -50
16 828 -40
16 498 -49
16 1116 74
16 984 37
16 1949 -14
16 1500 13
16 1923 -50
16 846 -18
16 1348 82
16 926 68
16 595 -49
16 522 37
16 245 -65
16 1146 -55
16 974 -4
16 1868 -11
16 697 -79
16 1753 -38
16 1650 41
16 968 -47
16 1722 -19
16 703 -24
16 1907 -77
16 934 68
16 756 18
16 807 -85
16 1813 61
16 1248 -23
16 1328 67
16 1871 -13
16 64 91
16 1403 88
16 1023 12
16 775 -44
16 1172 43
16 1252 -35
16 399 64
16 1683 86
16 686 95
16 498 -43
16 295 -35
16 1963 83
16 660 60
16 1335 59
16 461 -57
17 310 -22
17 1003 55
17 299 -58
17 1893 -24
17 1178 -59
17 228 -67
17 1594 -73
17 367 79
17 1990 -62
17 58 56
17 888 75
17 1315 -85
17 1760 37
17 1396 -76
17 841 -92
17 250 91
17 667 -54
17 1853 -21
17 354 16
17 1360 -4
17 1014 -14
17 107 91
17 1491 48
17 1372 4
17 1117 58
17 128 44
17 875 97
17 1380 -65
17 1729 62
17 1732 -77
17 1400 -36
17 374 -2
17 1857 -76
17 1157 -66
17 1298 11
17 1298 88
17 56 77
17 664 -86
17 1196 -20
17 1193 -64
17 1660 60
17 448 -51
17 1148 -25
17 757 -42
17 227 50
17 1095 -37
18 1809 33
18 216 -34
18 1184 -52
18 1721 -7
18 1310 12
18 116 0
18 1818 -42
18 1640 61
18 1636 -53
18 1859 51
18 1548 94
18 208 50
18 740 20
18 254 22
18 301 -41
18 736 -21
18 1299 -74
18 451 -3
18 664 -95
18 1175 -34
18 2038 1
18 707 -3
18 1174 84
18 1832 -66
18 898 -38
18 34 -42
18 1299 62
18 1422 97
18 790 -41
18 1776 -4
18 1727 72
18 1099 30
18 811 -15
18 1900 -2
18 180 82
18 1510 -46
18 1922 47
18 203 -38
18 915 72
18 708 -96
18 1246 59
18 1512 -4
18 1354 -39
18 778 -4
18 87 -9
18 1472 -47
19 102 78
19 1601 -83
19 1816 -65
19 1963 26
19 856 -4
19 1470 -43
19 940 78
19 1580 17
19 1223 11
19 1154 -57
19 1851 32
19 39 -65
19 119 9
19 483 -84
19 906 29
19 761 67
19 1754 29
19 697 18
19 889 75
19 2009 34
19 2041 49
19 782 -14
19 115 83
19 1792 8
19 1560 -94
19 288 31
19 77 -21
19 110 62
19 136 22
19 850 -53
19 1232 -93
19 1246 54
19 1994 11
19 563 -72
19 722 -74
19 631 -9
19 1845 -17
19 1986 90
19 219 -52
19 1838 -9
19 601 39
19 1654 -23
19 1254 -25
19 517 50
19 982 -79
20 805 -44
20 1854 -61
20 1860 62
20 27 -87
20 1493 51
20 1388 3
20 1379 92
20 164 -9
20 1722 97
20 486 88
20 421 71
20 29 6
20 295 -31
20 1303 -44
20 1611 -35
20 1672 94
20 747 -47
20 1202 -64
20 1290 -98
20 367 17
20 1572 -76
20 1632 98
20 1088 -32
20 1523 -93
20 1531 24
20 269 0
20 320 -32
20 95 0
20 1164 92
20 726 -61
20 828 -67
20 1434 72
20 1750 -30
20 122 13
20 1415 45
20 406 -66
20 1623 -98
20 1331 -41
20 874 -55
20 1126 81
20 743 66
20 186 91
20 963 28
20 1837 68
20 767 92
20 408 -82
21 1102 -44
21 1242 -21
21 1113 -22
21 982 -24
21 1628 99
21 218 90
21 1735 -25
21 589 -51
21 1033 -94
21 1562 -36
21 1194 -67
21 84 -35
21 1958 -27
