64 512
1 28 80
1 21 -32
1 23 64
1 45 43
1 14 -84
1 57 70
1 10 68
1 4 -55
2 16 48
2 41 -79
2 46 -14
2 45 -87
2 38 -60
2 44 -75
2 49 11
2 21 94
3 16 38
3 27 5
3 7 -18
3 41 -72
3 20 -64
3 44 9
3 13 61
3 22 -5
4 3 7
4 18 81
4 48 68
4 11 66
4 59 1
4 14 57
4 1 -93
4 24 81
5 37 -33
5 12 -19
5 27 95
5 31 -96
5 12 -84
5 5 -72
5 24 87
5 37 85
6 47 -5
6 14 12
6 58 72
6 49 -8
6 19 -69
6 48 -36
6 46 1
6 25 -16
7 39 42
7 62 -44
7 27 70
7 20 -22
7 6 21
7 42 60
7 36 86
7 46 -45
8 29 25
8 18 -58
8 1 88
8 62 92
8 18 32
8 8 22
8 30 33
8 56 -96
9 52 38
9 11 88
9 58 -77
9 30 44
9 59 -24
9 32 23
9 35 -19
9 21 1
10 29 23
10 53 -88
10 49 32
10 27 44
10 14 55
10 15 -78
10 37 -28
10 10 65
11 58 -70
11 26 33
11 6 36
11 56 27
11 36 75
11 62 56
11 64 -47
11 35 -9
12 60 5
12 27 36
12 22 39
12 17 79
12 57 -56
12 11 77
12 20 53
12 6 74
13 40 98
13 63 -68
13 42 60
13 62 -19
13 3 25
13 61 -65
13 1 37
13 47 13
14 44 -59
14 1 27
14 30 74
14 6 -99
14 47 13
14 19 -24
14 39 16
14 7 -73
15 29 -98
15 5 99
15 19 1
15 32 54
15 33 -1
15 43 13
15 29 -91
15 55 61
16 62 -35
16 51 -81
16 59 96
16 37 6
16 27 -71
16 5 -33
16 10 24
16 11 90
17 30 69
17 63 94
17 41 96
17 42 -82
17 34 -67
17 32 70
17 8 -41
17 57 -53
18 25 -7
18 46 -46
18 40 -37
18 36 -42
18 57 3
18 63 64
18 20 -27
18 29 93
19 18 1
19 47 94
19 43 75
19 21 -17
19 13 94
19 52 -75
19 45 -55
19 47 13
20 30 38
20 17 -35
20 51 22
20 31 23
20 39 -63
20 46 -20
20 31 50
20 40 51
21 35 58
21 17 -94
21 44 61
21 13 9
21 3 75
21 6 30
21 54 -21
21 57 57
22 45 17
22 55 -81
22 36 38
22 52 -90
22 40 38
22 1 82
22 16 22
22 59 67
23 60 73
23 3 -29
23 48 -69
23 53 29
23 12 58
23 50 -41
23 48 81
23 13 -13
24 63 -43
24 23 -15
24 47 -31
24 27 36
24 47 -55
24 47 -75
24 28 -56
24 12 -82
25 9 57
25 48 -50
25 34 -14
25 46 5
25 45 -83
25 31 -76
25 32 -54
25 2 -31
26 35 -19
26 18 98
26 37 -43
26 61 -11
26 17 -44
26 39 -31
26 24 -12
26 26 67
27 64 91
27 17 75
27 55 24
27 40 -66
27 49 -63
27 8 94
27 14 -44
27 58 -54
28 23 50
28 50 51
28 49 -22
28 47 -61
28 10 17
28 5 12
28 63 -76
28 45 -25
29 23 81
29 33 56
29 54 -7
29 51 -35
29 25 -1
29 42 70
29 52 54
29 60 50
30 30 38
30 17 -77
30 25 53
30 21 98
30 37 22
30 12 75
30 58 13
30 37 -10
31 52 -47
31 49 64
31 62 52
31 35 -69
31 15 50
31 1 -80
31 56 -88
31 43 -96
32 61 -41
32 41 19
32 24 -1
32 32 -99
32 51 98
32 42 50
32 30 -1
32 23 55
33 33 -19
33 49 -42
33 57 10
33 57 48
33 27 11
33 50 -94
33 33 -11
33 8 -41
34 9 41
34 17 -97
34 39 -3
34 8 6
34 42 24
34 40 -34
34 27 -47
34 17 -93
35 64 11
35 37 30
35 9 -85
35 42 -16
35 63 -74
35 40 67
35 50 96
35 20 -65
36 32 -86
36 3 90
36 22 58
36 8 -12
36 52 -39
36 26 -63
36 33 -69
36 18 -22
37 56 -18
37 53 -47
37 1 -97
37 24 -46
37 10 87
37 50 92
37 57 13
37 17 -41
38 10 10
38 50 -27
38 17 -62
38 47 -98
38 46 -65
38 53 2
38 56 41
38 4 -89
39 33 80
39 53 -93
39 62 -69
39 63 49
39 34 20
39 28 -24
39 19 12
39 8 -51
40 6 -39
40 5 45
40 9 -93
40 3 55
40 59 -10
40 62 -20
40 54 -22
40 36 -96
41 26 -30
41 46 -95
41 3 76
41 15 -21
41 28 -43
41 39 22
41 33 74
41 36 -49
42 27 78
42 26 1
42 51 -27
42 12 -34
42 51 -76
42 36 25
42 15 59
42 36 -70
43 38 99
43 13 -24
43 20 47
43 36 29
43 25 -17
43 39 -19
43 30 -12
43 11 -32
44 3 -72
44 63 54
44 17 -42
44 40 -67
44 24 -82
44 37 67
44 57 44
44 1 81
45 34 -79
45 11 25
45 64 9
45 9 -24
45 49 47
45 17 39
45 15 -38
45 22 -3
46 62 56
46 52 78
46 50 1
46 4 -29
46 1 60
46 5 -46
46 53 88
46 59 15
47 60 98
47 23 98
47 20 -81
47 50 -98
47 1 77
47 61 76
47 14 -89
47 54 -54
48 21 62
48 49 -62
48 4 -8
48 20 98
48 46 -62
48 56 67
48 53 -81
48 54 -57
49 61 -59
49 41 96
49 11 -74
49 48 36
49 23 -49
49 6 60
49 33 -4
49 55 -43
50 24 -80
50 46 38
50 7 91
50 1 49
50 64 69
50 48 49
50 28 73
50 59 11
51 8 67
51 33 -9
51 57 2
51 59 29
51 29 -79
51 52 16
51 6 -16
51 23 76
52 29 -3
52 18 -40
52 33 -30
52 30 -88
52 18 87
52 52 -99
52 46 76
52 24 68
53 41 20
53 47 -67
53 9 15
53 18 -99
53 38 85
53 28 0
53 31 -34
53 44 -15
54 40 90
54 21 -65
54 37 -55
54 62 23
54 59 42
54 36 24
54 63 74
54 20 -13
55 29 74
55 61 -12
55 3 18
55 34 37
55 1 -92
55 55 -85
55 4 3
55 2 -93
56 61 -53
56 28 58
56 43 -83
56 45 -67
56 46 16
56 4 9
56 50 -77
56 43 5
57 46 -28
57 7 -18
57 12 -87
57 36 23
57 32 -96
57 26 64
57 30 -70
57 36 -13
58 15 1
58 40 -34
58 43 92
58 26 19
58 45 19
58 27 88
58 11 20
58 10 -83
59 29 -71
59 24 10
59 41 10
59 62 -82
59 18 27
59 33 -87
59 15 17
59 23 15
60 64 5
60 47 -37
60 55 -74
60 4 80
60 58 61
60 14 -54
60 9 17
60 55 32
61 57 6
61 55 -55
61 64 -27
61 57 92
61 30 77
61 61 67
61 8 31
61 43 -11
62 42 14
62 8 -26
62 6 -32
62 27 -6
62 19 -79
62 17 -70
62 36 -24
62 37 89
63 30 77
63 25 53
63 4 -24
63 37 43
63 14 84
63 63 -77
63 18 -49
63 1 -22
64 60 17
64 34 -65
64 52 31
64 34 22
64 13 -69
64 47 9
64 7 64
64 35 19
