128 762
1 8 -66
1 127 7
1 104 71
1 70 -30
1 32 32
1 82 93
1 36 62
1 62 75
1 88 -96
1 102 -18
1 43 87
1 41 28
2 17 -50
2 124 32
2 53 -73
2 111 -86
2 60 13
2 89 27
2 96 63
2 12 -59
2 11 10
2 102 -30
2 27 -100
2 99 -59
3 60 -4
3 49 91
3 62 -80
3 9 51
3 118 -96
3 90 -50
3 123 -64
3 61 -28
3 96 -15
3 115 67
3 73 -59
3 19 68
4 32 -58
4 107 -90
4 9 93
4 112 -84
4 61 -73
4 19 -1
4 68 27
4 96 -30
4 60 50
4 118 -88
4 77 60
4 54 70
5 54 26
5 50 -90
5 123 98
5 99 -79
5 34 -98
5 81 55
5 12 22
5 38 -70
5 108 -24
5 31 11
5 33 -18
5 8 98
6 43 -54
6 78 65
6 60 88
6 22 25
6 16 -55
6 104 -65
6 113 -86
6 28 -4
6 69 -41
6 114 83
6 15 -65
6 29 -31
7 120 20
7 77 -91
7 88 -43
7 22 89
7 116 40
7 114 -90
7 74 -52
7 125 74
7 128 3
7 8 -78
7 121 -87
8 31 59
8 78 29
8 88 96
8 117 -85
8 20 81
8 87 -80
8 33 -58
8 32 25
8 113 43
8 66 6
8 25 -89
8 112 18
9 97 51
9 53 83
9 116 3
9 121 19
9 117 -60
9 19 -52
9 38 -51
9 124 -43
9 43 -12
9 66 -23
9 10 99
9 81 -71
10 107 84
10 65 70
10 116 2
10 29 -62
10 82 -66
10 22 -37
10 75 -3
10 87 6
10 90 64
10 13 32
11 125 21
11 68 -36
11 41 -6
11 45 -39
11 71 -29
11 128 45
11 36 -8
11 78 39
11 60 -44
12 38 -76
12 94 -25
12 19 40
12 89 61
12 99 80
12 98 83
12 83 -20
12 70 44
12 72 69
12 60 15
12 62 43
13 106 1
13 34 -87
13 82 -83
13 58 -19
13 39 8
13 117 34
13 87 45
13 35 16
13 40 -4
13 19 -10
13 16 -57
14 27 -2
14 86 -1
14 82 -56
14 66 -79
14 107 -94
14 57 73
14 69 -2
14 116 -91
14 117 -97
14 41 -52
15 24 -73
15 35 11
15 72 46
15 92 -25
15 113 17
15 108 6
15 84 -8
15 20 46
15 53 9
15 40 -54
15 27 -48
15 43 -92
16 86 -84
16 23 68
16 39 79
16 119 -12
16 112 36
16 90 0
16 69 7
16 22 84
16 78 46
16 110 10
16 53 16
17 54 -36
17 123 -93
17 100 -59
17 109 69
17 75 14
17 27 -6
17 127 -84
17 18 55
17 52 31
17 94 -48
17 106 -50
18 109 37
18 63 26
18 123 87
18 51 -72
18 31 -30
18 122 -72
18 23 84
18 57 11
18 91 50
18 95 -85
19 33 24
19 29 -22
19 116 -51
19 111 37
19 126 30
19 47 -23
19 109 -56
19 42 -40
19 120 8
19 124 29
19 87 9
19 125 -30
20 96 -64
20 62 -85
20 80 6
20 107 17
20 118 -43
20 26 69
20 128 -69
20 29 65
20 30 94
20 36 73
20 60 22
20 109 0
21 122 -85
21 91 -19
21 109 -80
21 126 -22
21 64 -71
21 44 -85
21 118 -49
21 28 -88
21 104 -4
21 61 76
22 45 -3
22 103 -6
22 63 -10
22 28 25
22 44 91
22 77 -58
22 70 -93
22 92 9
22 86 -45
23 25 -42
23 127 -20
23 114 46
23 51 38
23 107 82
23 73 62
23 77 -21
23 109 55
23 96 89
23 27 18
23 97 60
24 125 -1
24 70 85
24 103 32
24 85 69
24 95 84
24 38 14
24 127 86
24 61 -3
25 80 -36
25 34 -64
25 48 -67
25 38 -47
25 100 -26
25 68 84
25 112 8
25 75 66
25 107 59
25 88 5
26 59 -8
26 82 -90
26 100 -27
26 32 80
26 103 64
26 57 86
26 111 -98
26 43 62
26 94 -80
26 48 -92
27 87 -93
27 94 -63
27 119 -37
27 58 32
27 90 -65
27 108 51
27 67 -1
27 77 -83
27 91 -72
28 75 -47
28 76 -60
28 49 -90
28 37 94
28 42 98
28 30 -55
28 69 25
28 106 -11
29 94 -74
29 57 76
29 31 -74
29 46 -26
29 119 18
29 114 -73
29 59 -14
29 73 -30
29 62 32
30 128 90
30 111 -91
30 50 80
30 92 -23
30 88 13
30 33 -69
30 78 -9
31 71 -24
31 127 3
31 95 -1
31 47 30
31 72 81
31 42 -7
31 75 25
31 126 -34
31 109 46
31 88 0
32 60 -63
32 121 26
32 113 -67
32 86 86
32 80 -94
32 118 21
32 55 22
33 125 -17
33 113 52
33 118 91
33 52 -49
33 77 35
33 94 -73
33 110 15
33 34 -58
33 108 -66
33 98 -61
33 116 19
34 39 -52
34 40 73
34 105 59
34 82 -26
34 59 79
34 127 4
34 119 70
34 112 -75
34 68 93
34 44 6
34 116 20
35 41 3
35 44 17
35 117 -55
35 127 -55
35 37 -3
35 118 38
36 125 -87
36 120 -58
36 115 3
36 57 -56
36 72 13
36 99 23
36 128 -17
36 127 -9
37 60 0
37 45 2
37 122 83
37 70 -44
37 38 -33
37 68 -17
37 81 27
37 102 -26
37 113 -88
37 83 -39
37 79 -18
38 106 20
38 95 -23
38 88 -42
38 40 34
38 91 -95
38 61 -21
38 90 81
38 109 -55
38 117 -15
39 95 34
39 42 -89
39 51 86
39 125 -65
39 87 -11
39 59 -65
39 69 -69
39 80 -43
40 110 60
40 89 58
40 64 96
40 85 -21
40 72 48
40 83 -5
40 42 -33
40 106 81
41 102 -42
41 60 -14
41 87 62
41 73 79
41 83 73
41 70 23
42 88 -82
42 125 44
42 118 -61
42 119 24
42 58 38
42 101 88
42 59 -54
42 127 79
42 103 40
42 70 92
42 92 2
42 115 14
43 75 87
43 90 76
43 81 -79
43 91 -35
43 100 -70
44 50 27
44 113 66
44 47 94
44 65 -79
44 94 -4
44 103 64
44 125 -94
44 46 99
44 51 -39
44 71 28
45 118 -71
45 96 -9
45 94 97
45 56 -83
45 115 41
45 108 -51
45 87 -99
46 123 72
46 121 0
46 102 -98
46 120 -32
46 75 -45
46 74 -20
46 87 -48
46 118 -20
47 48 -68
47 72 -88
47 113 -4
47 117 77
47 49 24
47 84 -2
47 56 48
47 89 -54
47 108 91
48 82 -6
48 120 -39
48 123 6
48 66 -14
48 77 72
48 110 43
48 125 -50
49 111 -95
49 60 -41
49 64 28
49 109 -90
49 122 -70
49 91 65
50 63 73
50 101 70
50 114 -58
50 103 -48
50 91 66
50 119 -11
50 107 72
50 64 -10
50 120 44
51 95 -91
51 71 -85
51 104 -83
51 78 -27
51 96 33
51 80 -76
51 99 -53
51 124 85
52 63 -4
52 116 41
52 121 50
52 87 -80
52 126 87
52 102 -82
53 111 6
53 72 92
53 116 73
53 68 44
54 65 -50
54 82 28
54 93 -4
54 112 -56
54 111 86
54 104 42
54 97 -40
55 113 -85
55 95 -84
55 85 72
55 121 97
55 84 -22
56 69 73
56 73 10
56 110 96
56 112 -73
56 99 61
56 76 54
56 82 -80
57 119 46
57 108 72
57 65 -79
57 98 46
57 128 -27
57 61 -72
58 101 -61
58 116 -74
58 109 82
58 78 32
58 62 81
58 118 19
59 96 23
59 82 64
59 110 -71
59 86 27
59 65 12
59 121 82
59 104 -1
60 69 -23
60 120 42
60 83 -35
60 93 -22
60 88 63
61 118 68
61 102 -4
61 78 31
61 75 -56
61 128 -87
61 121 -68
62 111 -51
62 97 -26
62 115 36
62 120 -36
62 73 82
62 91 56
63 75 -36
63 109 84
63 125 -4
63 107 -1
63 71 -34
64 121 14
64 75 20
64 89 -9
64 86 -42
64 103 -98
64 108 -96
65 91 47
65 99 -61
65 71 -88
65 94 89
65 68 68
65 82 97
65 112 14
65 97 -68
66 104 -35
66 92 -52
66 74 39
66 90 -15
66 95 -68
66 102 7
66 98 -71
66 126 27
66 93 -53
67 89 6
67 116 58
67 83 51
67 111 -7
67 96 67
67 94 -85
67 102 25
68 117 -88
68 111 -2
68 104 10
68 103 25
68 79 -40
69 101 32
69 75 -85
69 117 7
69 88 -73
70 100 90
70 103 96
70 74 -44
70 108 -47
70 99 -9
70 125 -12
71 87 81
71 101 -77
71 119 99
71 109 9
71 90 61
71 73 -70
71 116 99
71 88 -24
71 128 -81
71 74 54
72 106 -69
72 76 8
72 103 88
73 114 76
73 119 35
73 78 -85
73 104 -11
73 101 -22
73 115 -11
74 81 -29
74 94 -7
74 105 14
74 107 -41
74 117 -99
74 126 79
74 112 77
75 109 95
75 90 87
75 84 99
75 122 58
75 121 27
75 77 -90
76 82 -60
76 93 64
76 77 99
77 111 49
77 98 -86
78 101 44
78 107 -65
78 109 -100
78 125 -48
78 90 -12
79 84 10
79 89 11
79 127 21
79 95 9
79 94 -51
80 121 25
80 128 45
80 90 81
80 117 21
81 86 -76
81 100 73
81 127 -52
81 113 -91
81 84 12
82 120 -6
82 83 -14
82 99 -70
82 106 -48
82 95 -81
83 98 86
83 99 -33
83 124 -27
84 122 -46
84 113 86
84 93 54
85 89 12
85 100 65
86 127 50
86 109 73
87 107 38
87 111 75
87 103 34
87 90 94
87 114 -86
88 93 93
88 113 51
89 109 5
89 96 -20
89 92 -58
90 109 17
90 106 98
90 94 75
90 114 -37
90 121 -51
90 124 -93
91 109 -4
91 114 -94
91 123 -67
91 127 53
92 118 26
92 128 -66
92 108 27
92 101 80
93 115 20
93 118 8
94 123 50
94 120 -32
94 114 93
95 118 -96
95 128 -88
95 108 26
95 96 -9
95 106 -92
96 103 1
96 117 -33
97 119 41
97 103 98
97 100 -3
97 107 -99
97 112 -99
98 119 -36
98 101 24
98 110 -75
98 117 64
98 125 41
98 103 23
99 124 -59
100 118 41
100 117 47
101 115 -96
101 119 -28
101 124 -10
101 121 95
101 109 28
102 125 -27
102 118 -33
103 114 -82
105 110 86
105 126 -30
106 118 -59
106 115 -5
106 120 -31
107 121 -74
107 123 21
107 126 -6
107 122 19
108 116 47
110 115 79
110 124 64
111 112 79
111 128 47
113 121 13
114 127 -90
115 126 62
115 119 19
116 122 92
118 120 -93
118 121 -28
119 127 31
119 125 -19
122 127 73
123 127 -90
