64 512
1 48 13
1 42 11
1 6 -71
1 30 -48
1 32 8
1 36 -31
1 62 87
1 15 7
2 18 18
2 26 -15
2 48 -96
2 53 34
2 21 -38
2 46 38
2 45 76
2 51 -74
3 25 67
3 28 24
3 13 -65
3 11 26
3 12 18
3 29 48
3 31 -91
3 20 74
4 24 74
4 56 21
4 14 24
4 27 55
4 26 4
4 52 81
4 16 11
4 51 71
5 36 -77
5 64 66
5 19 -55
5 2 -85
5 49 73
5 24 27
5 57 82
5 18 -28
6 19 -39
6 3 -77
6 35 -33
6 33 89
6 46 79
6 15 -21
6 64 43
6 28 -100
7 54 -4
7 10 87
7 29 62
7 45 -19
7 38 -37
7 19 -66
7 18 -21
7 11 9
8 27 45
8 24 -48
8 50 -60
8 13 48
8 8 91
8 46 -65
8 60 90
8 35 51
9 29 -96
9 51 -99
9 12 24
9 25 -91
9 38 -29
9 36 -74
9 11 67
9 52 44
10 43 90
10 32 -7
10 63 48
10 26 17
10 17 78
10 11 -80
10 12 -58
10 57 -60
11 1 -41
11 40 46
11 3 -100
11 4 22
11 28 -17
11 41 77
11 50 9
11 26 49
12 17 -45
12 9 -10
12 43 43
12 49 -3
12 5 15
12 34 55
12 42 -71
12 44 -72
13 29 11
13 31 -39
13 7 -74
13 57 -84
13 53 -31
13 27 -12
13 63 -21
13 17 46
14 7 -8
14 18 0
14 54 -85
14 55 -98
14 60 -56
14 36 57
14 62 -39
14 37 -13
15 27 -43
15 4 -63
15 12 -12
15 13 48
15 43 13
15 58 5
15 25 -60
15 34 90
16 3 88
16 64 -76
16 49 -70
16 26 93
16 16 -92
16 47 16
16 35 -9
16 56 77
17 36 58
17 48 28
17 31 -52
17 29 -18
17 61 66
17 59 -37
17 34 80
17 18 28
18 4 -23
18 33 -19
18 10 -3
18 24 -49
18 58 49
18 41 84
18 18 12
18 5 -53
19 51 -57
19 14 -78
19 59 -93
19 35 67
19 58 -22
19 27 -96
19 34 70
19 49 -73
20 16 41
20 37 51
20 64 39
20 30 -25
20 38 -8
20 34 -83
20 9 39
20 22 77
21 24 28
21 14 -6
21 61 10
21 9 -55
21 59 -12
21 19 84
21 42 -19
21 16 11
22 60 -90
22 31 -92
22 8 22
22 23 -28
22 37 84
22 33 -67
22 19 -32
22 61 46
23 23 -55
23 57 -80
23 29 -23
23 50 94
23 42 -42
23 62 -10
23 56 5
23 52 -100
24 60 68
24 63 -68
24 27 88
24 54 62
24 6 3
24 19 52
24 45 -59
24 44 54
25 17 36
25 5 34
25 25 32
25 40 -52
25 26 94
25 38 -30
25 23 -83
25 49 91
26 50 -83
26 19 -58
26 6 -39
26 35 -58
26 48 -97
26 3 99
26 26 -26
26 64 -66
27 22 61
27 57 -7
27 12 96
27 56 -18
27 20 -16
27 43 -5
27 21 -99
27 38 67
28 42 89
28 43 -94
28 9 45
28 8 -85
28 19 89
28 30 47
28 57 -40
28 55 13
29 55 -97
29 22 54
29 2 -59
29 14 -60
29 20 16
29 12 -65
29 36 63
29 37 71
30 16 1
30 6 81
30 50 -41
30 15 -25
30 9 59
30 42 -2
30 46 60
30 30 6
31 22 -65
31 24 -84
31 48 -42
31 10 -70
31 26 -39
31 63 -30
31 47 -69
31 59 92
32 42 24
32 28 72
32 15 -85
32 22 -14
32 64 -45
32 54 86
32 6 -43
32 27 5
33 43 -80
33 31 -83
33 56 -22
33 62 -75
33 12 -84
33 27 68
33 61 -41
33 64 54
34 61 68
34 15 74
34 45 78
34 43 5
34 35 -50
34 7 66
34 13 11
34 30 -87
35 19 8
35 50 -93
35 40 24
35 9 -55
35 48 -14
35 22 -46
35 14 64
35 7 11
36 6 91
36 50 -65
36 18 -22
36 45 -18
36 31 71
36 4 87
36 40 -16
36 15 -18
37 45 23
37 9 40
37 20 -8
37 49 55
37 10 -89
37 48 -66
37 7 36
37 53 -48
38 35 89
38 47 42
38 9 -92
38 51 86
38 18 72
38 48 -49
38 38 -53
38 31 1
39 4 88
39 44 -99
39 19 -78
39 53 92
39 23 -27
39 33 24
39 61 8
39 11 -46
40 64 -19
40 55 -3
40 8 -40
40 9 -3
40 29 -49
40 13 61
40 17 47
40 1 -85
41 10 46
41 62 34
41 24 -11
41 23 1
41 7 91
41 51 -65
41 3 67
41 25 -22
42 23 -30
42 55 -91
42 51 -59
42 7 -29
42 33 63
42 11 59
42 19 59
42 56 95
43 55 66
43 40 -14
43 15 14
43 57 61
43 23 -89
43 27 -20
43 1 -23
43 35 50
44 3 -1
44 47 -41
44 57 2
44 10 -69
44 26 -6
44 56 -80
44 2 -100
44 45 32
45 9 97
45 57 15
45 2 7
45 22 -4
45 35 -50
45 47 56
45 53 16
45 59 -18
46 37 16
46 43 52
46 63 36
46 3 44
46 38 62
46 52 -8
46 33 3
46 16 -75
47 62 -37
47 63 31
47 42 34
47 10 -48
47 49 12
47 34 -88
47 61 47
47 30 -96
48 12 -24
48 18 64
48 2 -59
48 15 -76
48 33 63
48 59 59
48 4 -75
48 11 34
49 10 23
49 1 -92
49 63 79
49 49 36
49 41 10
49 47 -41
49 13 43
49 36 6
50 2 -35
50 9 82
50 37 -40
50 4 -32
50 61 54
50 30 20
50 15 35
50 60 15
51 48 48
51 14 -25
51 57 35
51 8 7
51 29 24
51 5 -72
51 25 85
51 64 -19
52 59 16
52 2 14
52 5 -61
52 11 -43
52 32 74
52 36 56
52 42 86
52 46 -39
53 39 32
53 42 -18
53 52 -54
53 60 47
53 55 -27
53 27 -76
53 19 58
53 59 96
54 52 70
54 8 -39
54 15 27
54 57 -65
54 20 14
54 62 35
54 14 15
54 61 -60
55 23 14
55 7 75
55 13 64
55 38 -39
55 31 -91
55 59 16
55 64 14
55 29 74
56 34 17
56 2 96
56 4 -81
56 32 26
56 33 -44
56 39 43
56 23 -31
56 25 25
57 53 49
57 60 77
57 44 81
57 8 90
57 24 91
57 12 -12
57 25 38
57 51 -44
58 41 23
58 4 -34
58 35 -26
58 53 -15
58 13 -17
58 56 93
58 33 -79
58 36 80
59 7 -48
59 64 34
59 51 59
59 21 44
59 46 -22
59 22 15
59 2 87
59 32 -30
60 16 -71
60 28 -60
60 32 23
60 6 24
60 8 39
60 33 16
60 53 -26
60 40 -93
61 60 -5
61 6 -65
61 20 74
61 35 76
61 43 14
61 9 12
61 13 56
61 36 40
62 1 -32
62 24 -52
62 48 -19
62 56 -78
62 53 98
62 9 -41
62 37 6
62 46 97
63 16 -11
63 54 35
63 18 97
63 53 85
63 35 48
63 50 -58
63 47 -68
63 38 55
64 28 -87
64 22 86
64 9 53
64 4 46
64 50 -36
64 24 99
64 31 -95
64 26 -83
