32 96
1 9 9
1 18 -50
1 11 6
1 28 18
1 18 -92
1 18 -89
2 16 -15
2 25 -41
2 15 -30
2 21 -34
2 17 81
2 6 -57
3 12 -74
3 30 81
3 19 -47
3 27 99
3 30 -13
3 23 -32
4 27 -88
4 5 40
4 10 35
4 22 46
4 31 47
5 18 99
5 8 66
5 17 63
5 15 67
5 30 -17
5 25 -14
6 29 6
6 21 -60
6 14 91
6 19 -29
6 29 90
7 13 -26
7 15 52
7 16 -93
7 8 57
7 9 72
8 26 79
8 11 35
8 17 45
8 18 89
9 11 22
9 28 -12
9 17 -7
9 10 -98
9 14 -22
10 11 14
10 29 -20
10 31 -22
10 23 32
11 20 -66
11 18 -41
11 29 0
11 25 87
11 28 15
12 17 96
12 28 -11
12 17 56
12 30 3
12 13 -84
13 32 -1
13 18 10
13 18 -19
13 15 -41
14 28 95
14 16 -53
14 31 25
14 16 -22
14 27 30
15 22 25
15 25 -21
15 21 -53
15 31 -48
16 26 -41
16 17 -52
16 22 22
16 32 -97
17 20 -61
17 22 -86
18 24 -83
19 31 -27
19 25 -85
19 26 -22
20 22 65
21 27 -3
21 25 59
22 23 -68
23 29 -71
23 31 27
24 32 -27
25 31 79
26 29 -28
27 28 -100
31 32 -7
