128 759
1 84 78
1 56 40
1 122 50
1 87 -9
1 101 9
1 106 -2
1 49 54
1 17 -92
1 89 31
1 47 84
1 88 -89
1 8 84
2 94 77
2 109 84
2 95 41
2 77 79
2 121 -51
2 48 -78
2 100 4
2 32 -11
2 128 78
2 36 17
2 92 -99
2 67 -40
3 8 -49
3 47 43
3 93 -43
3 55 90
3 23 -77
3 38 40
3 28 -5
3 121 -29
3 27 95
3 104 -35
3 6 0
3 107 22
4 76 -9
4 50 -84
4 25 69
4 72 32
4 19 -27
4 16 -87
4 100 -46
4 76 88
4 58 13
4 113 36
4 67 2
4 13 -10
5 112 -19
5 80 -11
5 112 85
5 92 22
5 72 -54
5 106 8
5 94 3
5 86 -10
5 83 -39
5 35 27
5 52 66
5 76 -27
6 14 23
6 24 -17
6 97 68
6 122 76
6 54 -41
6 23 -45
6 99 -16
6 67 33
6 34 26
6 49 -50
6 24 -69
7 10 -93
7 54 -76
7 15 1
7 89 27
7 48 -40
7 17 -54
7 123 32
7 19 60
7 30 -3
7 114 -23
7 34 -8
7 86 27
8 121 -61
8 95 68
8 60 -13
8 114 76
8 107 -83
8 84 96
8 44 68
8 56 72
8 113 37
8 22 -53
8 80 17
9 74 -38
9 108 -99
9 54 -10
9 102 -68
9 28 17
9 42 6
9 68 47
9 50 75
9 80 60
9 92 -96
9 54 85
10 109 0
10 124 -16
10 78 -15
10 84 26
10 104 -89
10 46 78
10 34 -34
10 46 7
10 121 -87
10 91 -48
10 55 -77
10 46 63
11 71 -67
11 13 -4
11 55 -63
11 104 27
11 38 60
11 98 56
11 108 -97
11 66 -12
11 91 50
11 69 36
11 56 -54
12 28 3
12 29 -53
12 54 84
12 48 -48
12 113 45
12 109 50
12 122 89
12 124 -74
12 62 -63
12 39 20
12 120 -85
12 18 -11
13 114 57
13 40 20
13 26 -70
13 82 -11
13 74 26
13 73 37
13 111 -83
13 111 -38
13 78 -33
13 66 -78
13 92 96
13 27 -38
14 45 84
14 36 61
14 100 -44
14 26 -46
14 84 -11
14 79 74
14 74 57
14 116 0
14 72 47
14 61 -53
14 38 -18
15 28 -23
15 116 33
15 87 -63
15 48 -49
15 34 53
15 53 43
15 109 -63
15 128 -83
15 16 -59
15 79 52
15 59 -22
16 117 -48
16 107 -82
16 74 98
16 91 82
16 106 46
16 104 24
16 28 -99
16 50 49
16 47 26
16 35 81
16 78 22
17 56 74
17 114 -79
17 83 -89
17 125 -97
17 114 84
17 31 78
17 22 -54
17 91 34
17 123 -100
17 54 -60
17 19 -54
18 28 -83
18 91 -13
18 76 0
18 36 -33
18 64 80
18 118 41
18 100 67
18 123 56
18 103 -76
18 49 -60
19 61 -58
19 123 50
19 110 58
19 122 -9
19 47 29
19 51 -26
19 64 -11
19 78 73
19 98 29
20 99 30
20 42 97
20 101 -72
20 47 53
20 49 -89
20 33 34
20 55 6
20 27 -12
20 67 12
20 128 58
20 88 88
20 47 45
21 106 59
21 47 25
21 40 -54
21 119 29
21 28 -88
21 104 89
21 23 -64
21 119 -47
21 79 74
22 104 -34
22 124 80
22 70 35
22 72 -74
22 32 -95
22 119 93
22 123 83
22 101 -33
22 47 -51
22 76 -5
23 54 -25
23 47 -48
