256 4096
1 93 -10
1 94 -4
1 205 -38
1 224 63
1 130 -61
1 157 -41
1 63 13
1 140 37
1 4 -93
1 51 49
1 117 -78
1 26 91
1 250 -87
1 231 95
1 190 -62
1 86 -27
2 163 57
2 203 -77
2 251 -5
2 4 -43
2 244 -76
2 89 -49
2 160 -44
2 103 97
2 29 -6
2 171 62
2 115 30
2 30 38
2 3 -54
2 27 -13
2 100 88
2 82 84
3 161 -60
3 187 87
3 231 19
3 13 50
3 34 -56
3 164 28
3 188 -63
3 188 93
3 174 67
3 250 96
3 23 -57
3 133 8
3 246 6
3 56 54
3 239 -81
3 113 -84
4 138 -25
4 145 5
4 1 57
4 19 -23
4 72 -11
4 62 64
4 181 -83
4 177 -89
4 82 0
4 194 -6
4 74 -22
4 174 -37
4 4 -57
4 79 -88
4 97 91
4 170 58
5 87 71
5 231 25
5 202 84
5 110 -83
5 26 31
5 181 74
5 184 -32
5 70 25
5 159 94
5 219 71
5 169 -47
5 54 45
5 192 10
5 100 83
5 76 61
5 161 26
6 156 70
6 72 -28
6 228 -84
6 91 -67
6 46 -64
6 163 60
6 21 96
6 86 -57
6 237 93
6 154 75
6 62 11
6 20 -37
6 8 -21
6 45 35
6 121 7
6 13 -51
7 22 20
7 71 11
7 168 -100
7 47 -49
7 101 99
7 171 55
7 2 -15
7 219 19
7 91 79
7 244 -3
7 150 30
7 222 46
7 211 -73
7 82 8
7 82 4
7 33 -5
8 226 39
8 24 86
8 104 34
8 66 41
8 209 7
8 250 -62
8 173 11
8 121 45
8 58 4
8 149 -13
8 146 -58
8 13 83
8 49 -41
8 195 -13
8 59 -54
8 247 86
9 227 44
9 231 -22
9 186 -40
9 172 -37
9 252 -77
9 159 -35
9 253 96
9 205 95
9 138 -89
9 210 -91
9 256 -80
9 120 -41
9 200 -68
9 103 -86
9 78 -100
9 204 -84
10 164 27
10 251 61
10 177 31
10 147 -17
10 24 84
10 225 54
10 230 -4
10 1 -14
10 31 -81
10 250 -11
10 66 62
10 197 13
10 173 -5
10 14 12
10 145 -92
10 163 -99
11 30 -82
11 120 -71
11 80 41
11 187 -94
11 247 17
11 143 -21
11 41 -90
11 121 -6
11 31 -6
11 1 16
11 143 -83
11 91 64
11 167 81
11 253 -51
11 252 26
11 190 -74
12 91 -90
12 179 -48
12 13 98
12 37 -92
12 170 98
12 156 -49
12 5 -68
12 30 72
12 191 46
12 64 48
12 101 -21
12 54 65
12 203 -1
12 42 46
12 236 34
12 116 65
13 53 79
13 64 -90
13 129 37
13 243 -30
13 4 -52
13 231 41
13 157 -88
13 256 15
13 182 -68
13 224 99
13 14 36
13 238 -54
13 202 99
13 102 96
13 126 83
13 21 22
14 167 -87
14 8 38
14 30 51
14 230 11
14 55 -16
14 47 85
14 82 -95
14 224 -12
14 9 -48
14 3 -75
14 222 -82
14 154 25
14 171 63
14 189 -76
14 234 99
14 155 -15
15 218 18
15 91 73
15 18 -70
15 110 47
15 81 23
15 138 -3
15 63 -66
15 137 79
15 82 -82
15 185 47
15 78 -97
15 38 -16
15 239 -65
15 150 -15
15 21 2
15 171 -14
16 184 32
16 223 23
16 106 44
16 19 23
16 205 52
16 77 -4
16 215 25
16 223 44
16 155 1
16 73 -76
16 60 6
16 241 -56
16 231 38
16 67 62
16 81 14
16 164 76
17 214 -30
17 48 -74
17 160 15
17 90 99
17 174 -93
17 119 -88
17 212 29
17 73 53
17 56 -88
17 211 -38
17 98 19
17 11 16
17 245 48
17 10 73
17 85 27
17 88 -74
18 161 -95
18 100 8
18 237 63
18 211 51
18 206 20
18 42 -69
18 69 2
18 10 33
18 221 5
18 86 62
18 75 67
18 204 11
18 205 -53
18 161 30
18 85 32
18 150 -82
19 153 -70
19 132 -85
19 97 70
19 42 -73
19 141 86
19 165 84
19 104 16
19 121 54
19 235 -75
19 227 -86
19 2 -29
19 149 -46
19 147 96
19 29 58
19 126 -96
19 108 -37
20 207 75
20 190 -63
20 85 -14
20 155 52
20 196 -73
20 137 91
20 89 74
20 90 -13
20 221 -32
20 219 75
20 145 -43
20 164 -2
20 152 -57
20 189 -35
20 145 -64
20 43 6
21 106 -14
21 248 -33
21 19 -40
21 67 -72
21 70 43
21 223 70
21 83 -85
21 131 -23
21 6 -22
21 206 -41
21 22 29
21 186 -83
21 109 22
21 31 -67
21 12 -48
21 179 8
22 83 -10
22 203 17
22 76 -35
22 37 -72
22 139 -38
22 136 -35
22 90 -57
22 233 3
22 36 -90
22 41 76
22 135 -61
22 170 -9
22 81 84
22 179 37
22 118 -39
22 36 42
23 116 -87
23 21 -46
23 200 -44
23 199 -16
23 215 28
23 169 78
23 53 -96
23 94 -16
23 246 73
23 164 80
23 226 -35
23 252 39
23 150 -45
23 19 -75
23 40 38
23 83 -77
24 174 -46
24 87 7
24 122 -51
24 132 68
24 177 24
24 183 -26
24 132 -21
24 232 33
24 42 -71
24 173 2
24 241 92
24 168 89
24 154 -30
24 194 31
24 4 3
24 242 77
25 50 19
25 155 80
25 128 93
25 3 69
25 214 -93
25 132 53
25 39 78
25 33 23
25 102 -77
25 84 -43
25 110 -54
25 15 71
25 121 23
25 245 -51
25 21 -25
25 130 27
26 158 -62
26 229 2
26 230 -18
26 74 -32
26 123 -61
26 3 -11
26 137 74
26 5 -61
26 36 -54
26 209 3
26 189 -11
26 144 -79
26 29 96
26 75 39
26 69 -93
26 154 64
27 151 6
27 175 86
27 58 -69
27 143 26
27 135 -12
27 205 19
27 251 -17
27 69 49
27 140 -18
27 204 41
27 156 -11
27 193 44
27 227 -97
27 101 -19
27 196 -18
27 163 84
28 75 -91
28 184 -48
28 242 15
28 78 -69
28 67 61
28 15 13
28 83 -58
28 240 -51
28 200 -55
28 197 41
28 51 -84
28 65 -6
28 115 -19
28 177 -58
28 93 92
28 9 55
29 245 46
29 239 69
29 93 -55
29 139 -84
29 134 2
29 86 -50
29 163 -62
29 78 39
29 77 36
29 31 -16
29 203 53
29 60 -9
29 124 -34
29 194 -88
29 99 34
29 184 51
30 205 -41
30 2 -56
30 238 -22
30 38 35
30 239 91
30 131 -91
30 145 85
30 164 51
30 142 20
30 247 63
30 183 93
30 48 -38
30 207 96
30 5 -31
30 237 87
30 72 4
31 177 -94
31 104 1
31 95 65
31 51 -95
31 178 -62
31 62 47
31 211 -65
31 211 58
31 225 53
31 89 62
31 14 -65
31 89 -9
31 190 29
31 223 -92
31 46 -30
31 186 -87
32 68 46
32 167 43
32 18 15
32 105 71
32 164 -92
32 196 90
32 252 -71
32 25 -23
32 189 9
32 232 17
32 176 36
32 88 64
32 39 4
32 13 -41
32 22 -30
32 104 -80
33 132 -11
33 28 56
33 136 63
33 8 -85
33 122 5
33 167 -11
33 67 80
33 83 -87
33 251 48
33 26 -17
33 206 54
33 75 -9
33 27 21
33 193 19
33 78 -94
33 12 75
34 119 -17
34 221 69
34 89 95
34 228 -48
34 153 -33
34 156 2
34 109 21
34 217 -80
34 204 43
34 39 2
34 164 33
34 230 -60
34 108 -79
34 207 73
34 49 52
34 248 -15
35 184 13
35 231 -59
35 236 42
35 167 -57
35 175 -97
35 134 -56
35 243 -15
35 51 -78
35 96 -76
