1024 16209
1 274 -19
1 584 -80
1 899 -20
1 499 27
1 183 15
1 746 95
1 39 -15
1 523 48
1 814 -23
1 958 91
1 995 69
1 318 63
1 567 -68
1 901 96
1 978 92
1 695 -6
1 507 -43
1 441 31
1 1004 32
1 975 -18
1 993 -17
1 986 71
1 187 -37
1 1001 -61
1 286 42
1 409 22
1 994 -2
1 998 -80
1 269 -83
1 30 -5
1 581 -15
1 188 57
2 111 -68
2 600 -66
2 895 -98
2 987 -8
2 982 -41
2 610 -84
2 320 64
2 684 -10
2 274 68
2 84 2
2 146 95
2 869 96
2 298 -51
2 648 -20
2 1021 -58
2 314 -13
2 720 83
2 548 28
2 370 -54
2 718 21
2 238 -94
2 178 -40
2 790 19
2 571 -30
2 687 39
2 754 8
2 32 -59
2 132 -100
2 65 65
2 942 -5
2 774 -80
2 457 -66
3 912 27
3 358 64
3 749 53
3 18 90
3 993 -19
3 385 72
3 417 -16
3 650 5
3 905 80
3 351 -57
3 465 -39
3 954 11
3 872 68
3 894 41
3 14 86
3 533 -59
3 493 26
3 788 -44
3 654 18
3 284 -42
3 532 -91
3 173 90
3 862 -17
3 153 -23
3 930 -35
3 725 32
3 898 -73
3 262 7
3 609 24
3 934 34
3 98 -27
3 479 -27
4 664 -14
4 215 -36
4 332 76
4 579 -10
4 715 -45
4 105 -56
4 664 65
4 372 1
4 905 39
4 910 -77
4 660 10
4 158 -94
4 143 -75
4 242 -18
4 524 -3
4 536 -8
4 401 77
4 135 8
4 516 -46
4 92 61
4 38 -2
4 823 -2
4 519 -65
4 450 4
4 981 83
4 236 -31
4 330 13
4 189 -87
4 449 -4
4 534 2
4 67 71
4 39 22
5 983 -54
5 667 -16
5 138 -46
5 904 -81
5 221 -81
5 846 -84
5 937 -3
5 147 74
5 729 -16
5 918 91
5 241 28
5 648 -60
5 543 66
5 914 -95
5 345 -58
5 1004 -60
5 584 -94
5 165 -35
5 454 -51
5 611 -78
5 346 73
5 307 39
5 127 58
5 939 71
5 755 -27
5 746 -52
5 715 -43
5 52 21
5 580 -77
5 71 43
5 904 24
5 339 36
6 779 -54
6 83 -18
6 671 -56
6 96 -60
6 637 -63
6 913 -34
6 527 -68
6 282 -18
6 896 -29
6 223 -49
6 491 -20
6 807 6
6 891 81
6 547 38
6 674 93
6 658 31
6 929 2
6 252 -15
6 574 -68
6 784 -13
6 41 -50
6 316 60
6 624 -43
6 945 -68
6 673 24
6 501 79
6 824 70
6 302 35
6 348 25
6 694 -49
6 860 63
6 935 -11
7 872 7
7 344 -2
7 339 -83
7 388 97
7 998 64
7 627 70
7 777 -31
7 702 -55
7 675 12
7 319 96
7 728 7
7 646 -17
7 63 -41
7 437 38
7 906 -54
7 103 3
7 690 62
7 974 -54
7 760 -56
7 68 -7
7 678 -97
7 1001 36
7 238 9
7 195 32
7 188 -70
7 1001 63
7 542 -21
7 103 8
7 42 6
7 19 23
7 468 70
7 319 -94
8 219 42
8 959 -65
8 879 49
8 928 2
8 907 3
8 718 -58
8 433 45
8 359 20
8 964 82
8 854 -97
8 179 92
8 492 -39
8 848 -42
8 172 72
8 201 -46
8 946 -58
8 201 42
8 1000 -16
8 880 38
8 530 27
8 723 -83
8 41 -95
8 868 53
8 977 18
8 217 -55
8 644 50
8 563 -57
8 888 -29
8 269 -50
8 575 -65
8 289 95
9 962 4
9 798 -61
9 580 -29
9 512 36
9 157 73
9 107 -60
9 723 9
9 532 78
9 723 11
9 626 67
9 908 -13
9 225 -93
9 681 -79
9 100 90
9 281 70
9 48 -29
9 1021 89
9 16 91
9 273 -67
9 319 -36
9 135 52
9 244 17
9 918 -58
9 1024 -6
9 677 -75
9 224 -69
9 978 83
9 1018 65
9 18 -18
9 918 -41
9 104 8
9 766 -95
10 692 99
10 759 -27
10 104 27
10 69 5
10 149 -15
10 280 33
10 297 -29
10 449 -23
10 562 74
10 576 -49
10 550 -32
10 662 95
10 797 -26
10 862 34
10 405 13
10 805 -93
10 772 78
10 626 66
10 238 97
10 911 29
10 387 -43
10 277 -80
10 155 58
10 113 18
10 707 51
10 958 -23
10 812 -27
10 988 -59
10 394 64
10 929 -36
10 249 -35
10 12 -61
11 954 -43
11 275 -94
11 12 -77
11 580 8
11 240 93
11 440 -62
11 134 14
11 522 55
11 802 -8
11 1021 50
11 633 -26
11 454 27
11 166 -52
11 549 -17
11 908 22
11 388 -77
11 688 18
11 773 85
11 877 -73
11 426 58
11 446 68
11 50 -73
11 253 17
11 531 66
11 457 -33
11 661 92
11 708 -3
11 393 58
11 124 -63
11 814 98
11 931 2
11 961 56
12 911 69
12 177 -19
12 145 -94
12 608 50
12 952 87
12 323 -30
12 834 98
12 871 -87
12 813 51
12 141 -24
12 508 -50
12 569 7
12 854 -33
12 884 -23
12 988 -95
12 704 -65
12 342 32
12 394 -59
12 490 31
12 1003 68
12 805 75
12 540 50
12 848 -1
12 575 -3
12 1000 66
12 734 12
12 836 -76
12 599 -92
12 403 89
12 478 -71
12 148 67
12 300 -55
13 421 -29
13 765 77
13 143 -88
13 312 19
13 63 46
13 951 -7
13 706 -100
13 742 96
13 521 -59
13 889 18
13 998 89
13 835 65
13 842 81
13 672 -100
13 389 -79
13 390 -95
13 300 44
13 179 92
13 729 -80
13 348 81
13 455 -94
13 964 69
13 971 44
13 934 -89
13 887 -75
13 659 -4
13 992 -14
13 389 9
13 652 11
13 785 -22
13 594 26
13 766 -23
14 148 -81
14 767 15
14 752 -12
14 813 59
14 725 -13
14 837 -8
14 872 71
14 836 30
14 930 41
14 895 -66
14 692 18
14 611 -5
14 187 15
14 168 65
14 1004 32
14 321 -97
14 859 -93
14 942 -36
14 471 -76
14 599 -42
14 329 90
14 618 74
14 319 9
14 348 12
14 312 4
14 848 21
14 442 46
14 1019 -29
14 188 -69
14 460 -44
14 313 -44
14 742 -99
15 286 -26
15 818 -99
15 828 -28
15 58 -76
15 453 79
15 436 79
15 219 -60
15 33 23
15 655 67
15 716 -42
15 972 -16
15 549 -60
15 549 2
15 962 -20
15 94 7
15 576 -53
15 547 69
15 679 92
15 996 73
15 813 -50
15 815 -41
15 258 54
15 179 78
15 426 -51
15 996 -7
15 32 -36
15 855 -62
15 659 -46
15 627 26
15 855 65
15 832 12
16 21 -100
16 810 47
16 403 24
16 860 -17
16 1024 -97
16 695 29
16 789 -69
16 423 -69
16 442 39
16 476 22
16 614 -54
16 95 -46
16 749 -87
16 1014 -9
16 481 -18
16 820 -90
16 830 50
16 167 46
16 969 3
16 176 -20
16 339 35
16 132 -92
16 237 70
16 288 41
16 169 71
16 534 6
16 1017 82
16 742 -29
16 265 36
16 722 -89
16 485 -90
17 912 -53
17 473 -41
17 353 80
17 882 25
17 432 64
17 790 31
17 1014 63
17 284 -71
17 901 -61
17 841 -12
17 122 -26
17 1003 -70
17 859 -27
17 652 51
17 595 -57
17 169 -74
17 275 -84
17 679 40
17 970 -67
17 821 -40
17 572 -79
17 374 99
17 274 69
17 557 -66
17 386 -9
17 478 56
17 236 40
17 454 73
17 375 -12
17 830 96
17 135 89
17 775 57
18 146 91
18 411 -17
18 881 20
18 825 60
18 671 -63
18 604 89
18 986 82
18 415 59
18 1015 94
18 403 -71
18 567 60
18 119 -10
18 983 15
18 269 83
18 790 -95
18 285 52
18 578 -48
18 376 85
18 479 12
18 56 35
18 295 -4
18 462 74
18 862 67
18 883 80
18 369 36
18 61 33
18 534 -39
18 741 29
18 956 -57
18 601 47
18 634 -94
19 519 -7
19 63 -57
19 924 33
19 966 38
19 500 -11
19 908 2
19 1005 -29
19 889 -64
19 128 -32
19 558 -65
19 529 -49
19 920 -19
19 685 -86
19 232 29
19 799 96
19 612 81
19 865 -75
19 583 2
19 38 -9
19 192 43
19 1013 -34
19 503 -85
19 903 -95
19 912 -43
19 626 7
19 321 -59
19 382 64
19 88 85
19 679 48
20 326 64
20 970 -98
20 512 65
20 92 96
20 751 17
20 750 -78
20 185 -6
20 22 13
20 53 -89
20 669 -15
20 943 8
20 267 14
20 638 -71
20 93 -59
20 777 51
20 194 60
20 412 74
20 247 -70
20 454 -64
20 208 -19
20 607 -58
20 638 13
20 652 -32
20 815 -80
20 617 -4
20 103 -97
20 179 66
20 474 -82
20 584 -42
20 968 71
20 298 75
20 996 -14
21 150 -92
21 470 6
21 356 -1
21 27 -95
21 629 -78
21 339 13
21 872 -70
21 580 -34
21 565 -32
21 780 39
21 997 -53
21 477 -2
21 54 -95
21 796 -73
21 703 -22
21 1005 94
21 208 37
21 926 -89
21 896 -83
21 381 26
21 831 33
21 759 10
21 426 8
21 142 26
21 593 59
21 248 42
21 67 -80
21 960 33
21 780 32
21 560 -67
21 984 -2
21 257 -12
22 23 9
22 650 47
22 580 67
22 115 -62
22 864 -82
22 28 -100
22 642 -22
22 206 -27
22 23 -92
22 834 -25
22 753 -70
22 641 -22
22 246 -44
22 76 66
22 249 61
22 598 -97
22 302 40
22 836 -79
22 165 30
22 953 90
22 799 32
22 485 62
22 426 85
22 876 -25
22 292 -58
22 936 34
22 122 6
22 348 3
22 878 -71
22 649 -56
22 279 -55
22 913 -41
23 962 79
23 1006 -59
23 557 -39
23 297 95
23 791 34
23 1008 28
23 224 29
23 566 80
23 789 -22
23 443 2
23 508 4
23 504 -77
23 782 -77
23 852 -71
23 165 -25
23 864 -37
23 653 56
23 370 27
23 388 97
23 236 48
23 689 66
23 750 63
23 884 -89
23 552 -9
23 991 15
23 257 -21
23 772 48
23 733 -65
23 560 8
