32 95
1 6 39
1 3 -34
1 30 78
1 8 99
1 20 -54
1 13 15
2 31 -28
2 7 -93
2 7 9
2 22 43
2 3 6
2 23 -20
3 5 -14
3 16 66
3 25 51
3 17 -57
3 16 -11
4 24 -53
4 32 -63
4 15 53
4 20 -16
4 8 -82
4 22 91
5 21 -86
5 31 92
5 13 18
5 18 -27
5 8 91
5 11 -47
6 12 42
6 31 29
6 26 -38
6 19 5
6 15 96
6 19 68
7 32 -50
7 27 -13
7 19 -46
7 14 57
8 27 -31
8 30 -62
8 28 53
8 9 57
9 31 1
9 27 -60
10 11 43
10 28 34
10 30 54
11 15 89
11 27 -44
11 13 -98
11 14 15
11 28 -23
12 19 99
12 26 -6
12 23 -99
13 20 -92
13 16 32
13 24 -84
13 29 -88
14 23 -12
14 27 -9
14 21 -10
14 26 51
15 18 26
15 22 90
16 29 -15
16 27 37
16 27 25
17 29 30
17 24 19
18 27 -51
19 31 -75
19 29 87
20 30 -92
20 28 4
20 22 -86
20 26 48
21 23 -18
21 30 10
21 22 -99
22 30 55
22 27 97
22 31 -97
22 26 20
23 24 48
23 30 42
24 25 -37
25 32 -80
26 30 60
26 31 -36
27 30 81
28 30 6
29 31 14
30 32 -56
