1	90,659	106,1412	63,1773	98,1686	131,536	119,69	186,183	101,873	187,478	77,1700	6,1086	41,440
2	37,547	50,962	61,1268	139,1664	103,1143	155,675	146,575	76,1164	89,255	155,865	113,1579	82,1398
3	98,1197	14,509	104,781	67,704	79,620	132,125	136,1330	183,1733	130,216	83,1401	180,296	108,743
4	77,799	133,494	38,507	91,536	7,12	89,352	134,771	39,643	150,1544	156,517	97,1312	167,1243
5	111,551	93,522	122,1193	11,1039	161,1360	181,1079	116,623	144,1201	169,409	97,1196	53,1167	180,1131
6	165,499	44,599	132,1374	158,432	194,1034	195,680	116,1779	65,777	107,1396	199,1633	1,1467	134,692
7	158,1157	56,1781	124,75	35,137	180,821	98,1129	115,617	81,1023	149,1484	168,205	111,669	28,1520
8	194,1110	164,683	92,491	41,904	157,54	119,1101	144,349	197,1085	174,851	172,704	13,916	148,348
9	178,1280	73,476	70,633	42,69	148,764	162,188	24,1226	157,517	73,1338	183,1775	27,183	200,1771
10	177,952	23,370	49,1267	132,904	62,1771	99,235	74,962	16,1286	84,815	59,1675	18,1249	15,672
11	85,1709	57,1416	49,238	2,1629	168,905	94,356	138,1779	178,608	65,618	36,237	4,692	91,1203
12	66,331	110,761	153,1600	163,1393	150,488	96,151	105,494	190,259	154,898	60,346	40,886	168,1776
13	40,1352	54,1198	132,912	59,618	152,413	133,291	2,1041	62,221	161,250	49,697	123,143	53,1555
14	81,815	116,256	39,959	121,1560	20,38	44,992	117,978	72,779	169,970	195,151	72,1798	189,549
15	190,397	82,1180	56,1372	27,474	115,224	158,1061	32,672	32,616	161,129	48,1269	96,1342	146,381
16	183,75	79,1837	59,568	125,249	14,1552	91,79	164,1014	115,136	80,1729	31,1677	33,964	7,1505
17	89,1243	148,360	68,193	127,671	80,1299	21,915	162,703	4,917	57,701	24,1090	77,1499	170,739
18	147,956	50,713	172,1826	59,1217	88,840	148,1279	132,1541	86,758	69,1485	10,819	53,1160	19,483
19	17,1557	75,1410	179,1576	104,890	121,406	54,1432	105,983	2,1313	47,1810	151,1834	125,249	14,105
20	139,1833	6,1617	27,1833	58,745	67,213	200,1695	93,1154	46,111	93,1296	25,356	35,252	51,980
21	28,1820	144,485	66,948	177,1723	17,666	115,1123	194,442	52,1248	34,480	182,115	158,1852	147,1460
22	123,1656	185,65	150,1791	127,1311	125,21	46,411	145,212	80,765	167,1712	173,270	43,1523	5,830
23	137,1820	189,42	66,733	131,1028	73,123	142,193	153,1073	38,1574	139,1428	17,1248	25,731	6,482
24	34,936	6,445	6,643	123,862	105,585	125,1246	41,911	62,1340	83,1738	196,1616	194,1106	29,746
25	136,877	10,214	133,706	197,1484	200,1266	187,543	137,1842	131,288	153,124	190,1652	94,1203	41,407
26	133,1752	88,1300	130,484	39,829	161,501	79,1397	101,755	96,1522	87,650	63,1842	179,1271	141,1184
27	98,625	155,252	102,1496	22,342	160,215	180,342	57,237	195,791	132,1761	123,1030	191,1863	94,1200
28	175,246	53,83	93,1783	95,1022	48,1204	54,1803	38,1081	90,181	133,242	184,1483	72,738	181,934
29	75,677	153,1848	83,674	147,404	87,1202	155,149	138,396	135,1359	87,1656	66,1092	40,780	49,1314
30	104,1259	22,177	8,916	158,1515	45,1183	102,865	3,1402	180,972	123,517	189,839	158,1373	110,904
31	193,24	160,1347	90,1187	124,1259	177,658	194,1308	109,1019	132,1764	70,339	96,1512	188,96	97,998
