1	63,102	92,91	3,186	45,212	122,201
2	139,240	139,116	172,185	104,137	7,191
3	142,261	12,282	149,275	97,173	189,31
4	146,114	82,125	99,179	180,20	34,143
5	109,53	162,134	101,246	140,206	55,153
6	26,18	24,126	139,260	125,118	21,125
7	119,2	72,27	44,106	195,260	172,231
8	124,29	75,253	132,183	82,27	5,87
9	149,65	41,229	49,252	115,132	20,22
10	57,239	22,208	138,53	55,171	178,35
11	32,66	161,205	161,109	69,163	38,148
12	144,9	73,65	10,1	178,86	97,222
13	194,162	151,272	173,186	19,170	75,205
14	48,26	88,141	185,162	71,221	181,162
15	169,196	117,197	14,204	182,173	174,103
16	63,178	152,247	193,243	127,208	140,181
17	111,122	82,269	91,152	15,55	22,116
18	24,269	121,35	115,33	2,183	150,159
19	91,148	44,159	12,157	137,180	75,159
20	153,91	71,119	49,235	193,177	136,132
21	79,146	52,114	30,170	43,256	98,138
22	133,255	67,124	102,166	194,29	112,55
23	50,235	162,13	141,268	123,120	36,228
24	60,17	67,189	69,268	80,16	80,257
25	159,279	32,11	86,108	26,284	49,11
26	57,170	181,4	3,114	168,229	125,239
27	67,83	133,211	34,45	37,89	83,109
28	69,147	126,82	154,68	33,77	165,115
29	6,192	77,140	72,133	176,266	39,225
30	159,111	6,87	63,21	199,269	140,252
31	92,199	163,256	198,198	89,286	45,7
32	188,85	160,78	66,246	88,48	162,131
33	27,2	52,77	54,242	198,231	124,94
34	102,269	191,132	17,271	50,284	22,259
35	27,49	101,182	133,42	82,42	29,133
36	15,27	138,116	77,55	137,120	88,40
37	103,128	195,103	103,248	84,150	147,38
38	200,7	60,124	10,62	145,206	9,176
39	38,260	107,70	10,112	94,26	170,141
40	74,160	115,183	32,135	109,29	141,16
41	9,228	100,207	190,105	87,49	113,175
42	43,114	139,199	79,108	18,284	40,49
43	125,211	44,15	165,213	77,276	194,215
44	96,61	121,107	57,158	151,146	187,253
45	190,227	43,124	136,199	153,228	190,87
46	73,285	176,145	30,18	162,185	146,124
47	145,78	76,188	174,30	126,100	34,74
48	58,21	44,7	169,172	82,23	185,59
49	22,200	198,70	52,213	56,152	200,161
50	190,107	126,113	52,42	43,201	27,73
51	114,115	2,132	114,69	70,181	39,255
52	107,38	169,153	80,24	147,196	6,136
53	88,163	99,186	134,256	117,138	183,191
54	78,139	155,135	101,98	29,206	126,32
55	196,187	177,127	97,86	69,254	124,127
56	17,255	132,178	37,56	29,90	185,146
57	199,72	81,155	182,134	44,15	47,176
58	162,205	67,145	37,269	156,213	85,273
59	42,196	17,216	59,50	146,163	24,8
60	144,56	24,124	32,128	126,281	115,52
61	35,41	153,276	49,261	197,232	196,55
62	70,37	175,196	190,256	113,126	1,279
63	135,27	32,268	153,207	106,132	50,99
64	167,11	192,126	98,136	82,192	193,209
65	37,165	113,225	169,166	151,205	184,95
66	105,43	145,132	90,92	14,150	35,108
67	60,109	92,66	14,275	54,135	163,19
68	40,107	78,277	46,233	91,113	170,62
69	117,81	192,201	172,190	118,250	152,206
70	69,129	99,39	46,97	96,135	56,157
71	150,77	29,142	42,115	55,5	189,221
72	5,193	144,71	197,121	52,257	134,165
73	110,164	86,67	99,169	93,269	153,20
74	68,92	59,130	88,194	54,63	116,195
75	51,157	177,273	53,209	171,111	166,71
76	47,240	107,88	25,133	30,144	101,98
77	27,162	8,48	82,47	194,190	68,224
78	129,48	79,214	25,68	110,271	136,100
79	102,76	161,91	21,22	140,211	46,228
80	65,254	3,8	104,251	105,211	59,46
81	117,199	106,236	122,273	89,177	165,160
82	192,242	92,251	165,86	72,179	80,148
83	95,102	44,268	200,134	167,189	137,227
84	64,182	184,272	136,40	70,276	126,235
85	182,171	3,234	182,214	138,210	133,76
86	181,265	71,248	114,80	196,83	113,252
87	2,162	62,161	167,5	44,165	143,276
88	30,249	51,78	57,238	22,49	20,176
89	54,250	92,191	66,95	131,88	62,130
90	106,14	14,195	15,58	197,201	170,214
91	102,21	9,176	26,148	147,109	152,109
92	36,152	169,133	32,144	36,113	159,257
93	9,184	190,191	95,163	80,117	141,231
94	141,129	167,40	127,157	187,100	115,184
95	175,237	68,36	115,34	34,127	84,141
96	89,197	175,216	63,250	31,74	197,12
97	197,194	77,246	45,83	179,199	114,19
98	186,159	153,284	190,205	42,100	3,211
99	147,239	87,106	112,235	97,89	49,99
100	194,2	108,91	8,74	88,131	43,159
101	39,151	79,33	136,98	7,258	32,194
102	152,231	24,161	175,275	97,189	148,211
103	21,85	116,251	26,17	27,249	18,124
104	149,144	122,165	79,168	12,102	105,195
105	84,139	58,11	91,32	194,110	51,91
106	182,208	5,243	46,197	2,145	170,275
107	70,53	89,171	30,32	67,62	16,12
108	20,213	59,261	90,198	57,156	25,64
109	71,6	183,104	168,58	191,102	182,78
110	55,170	127,237	157,48	11,99	96,177
111	183,150	11,10	63,137	121,102	172,85
112	108,189	78,165	170,2	152,281	24,221
113	132,254	185,13	137,269	180,204	155,115
114	130,92	127,117	123,213	26,138	123,282
115	43,235	14,113	32,17	168,170	142,23
116	141,55	4,34	191,36	72,27	72,170
117	80,214	68,53	153,212	140,38	168,276
118	123,9	157,71	71,284	53,80	118,216
119	199,257	124,77	77,54	78,189	146,120
120	6,57	167,75	15,285	55,220	123,181
121	199,94	46,182	115,212	133,67	134,54
122	86,109	192,119	72,143	58,153	20,20
123	58,178	7,114	195,14	153,275	160,108
124	13,139	113,246	77,102	74,152	62,145
125	6,42	46,46	175,191	99,268	47,177
126	131,194	183,154	169,172	131,27	84,239
127	157,43	155,253	46,258	125,220	116,286
128	84,240	182,57	100,194	68,127	152,66
129	131,216	60,163	128,17	102,60	65,197
130	18,192	51,188	67,211	126,159	34,232
131	42,186	57,142	56,86	71,33	72,76
132	78,16	50,253	73,230	93,221	63,281
133	123,149	146,176	142,72	93,103	104,174
134	111,116	30,44	89,89	18,239	92,125
135	58,241	29,259	141,56	49,56	198,253
136	76,12	178,177	45,282	114,201	146,159
137	60,258	45,128	103,100	42,19	68,265
138	193,1	10,204	69,166	128,185	93,129
139	161,60	90,116	125,173	45,63	82,64
140	121,192	153,258	125,189	68,240	145,232
141	162,226	35,87	106,189	158,27	137,164
142	11,85	27,153	129,88	9,261	108,46
143	139,69	23,251	46,214	158,235	9,178
144	58,111	72,2	186,242	16,204	15,96
145	52,57	26,105	102,41	159,193	163,270
146	182,183	168,174	143,66	49,200	38,191
147	159,194	178,81	178,2	90,158	24,76
148	41,269	66,144	195,164	121,92	175,38
149	69,151	79,171	34,216	5,130	34,60
150	40,68	47,213	53,155	126,116	110,73
151	32,95	35,176	43,150	131,83	137,144
152	113,58	194,171	29,65	152,167	74,176
153	70,8	25,99	102,136	115,92	32,178
154	194,145	110,146	29,273	31,101	75,75
155	150,151	33,163	49,176	124,78	197,279
156	47,112	179,135	78,128	147,131	117,109
157	65,74	68,234	196,170	109,254	91,259
158	176,286	150,105	104,214	159,21	156,253
159	139,194	200,225	131,279	148,104	168,159
160	152,147	37,216	64,238	119,249	41,208
161	172,239	8,257	199,163	109,146	176,272
162	113,148	173,91	184,244	51,129	121,158
163	53,33	102,261	47,57	75,211	152,281
164	64,174	33,116	187,110	153,134	186,259
165	36,28	188,259	48,255	83,3	123,213
166	121,131	81,34	36,25	169,102	20,59
167	156,126	129,30	47,24	31,66	158,137
