1	97,56	98,240	14,63	167,227	29,251	152,283
2	154,150	200,269	124,52	115,129	6,195	169,254
3	77,125	21,182	169,240	181,56	20,21	47,136
4	175,185	180,149	15,87	25,232	43,111	158,284
5	48,115	188,229	136,243	97,233	36,190	146,275
6	130,72	177,280	128,131	99,210	145,204	142,174
7	148,93	165,107	99,266	136,286	174,157	180,212
8	23,133	153,207	128,167	185,240	145,100	132,113
9	18,246	117,188	137,261	58,81	135,137	22,249
10	83,98	68,128	54,136	80,185	177,34	86,165
11	165,174	62,62	17,274	40,93	48,242	47,20
12	5,262	122,44	183,194	200,248	142,16	15,210
13	84,96	156,122	78,18	8,181	119,47	148,62
14	54,167	48,140	177,138	131,64	26,182	182,62
15	13,205	29,208	103,130	66,68	133,18	109,89
16	105,19	192,181	88,209	37,110	58,253	43,224
17	104,77	104,175	44,48	10,112	100,90	183,3
18	78,54	28,267	38,68	182,172	28,212	66,138
19	41,200	85,171	86,266	170,138	56,125	62,192
20	167,33	150,234	31,87	80,9	100,241	164,270
21	150,182	173,62	39,35	39,56	43,239	132,201
22	177,63	198,205	145,100	48,104	171,9	117,175
23	98,126	81,174	148,141	55,178	88,271	2,154
24	172,115	92,216	144,1	164,128	126,197	72,235
25	4,261	196,183	38,33	83,129	187,13	172,159
26	34,179	148,144	94,286	44,3	189,85	48,165
27	162,161	6,237	130,132	144,163	8,43	63,67
28	136,106	132,122	127,206	22,278	194,16	154,37
29	185,121	45,173	19,104	106,284	100,268	8,65
30	62,6	162,105	161,186	50,1	29,275	93,263
31	196,249	166,242	29,221	175,212	30,66	125,95
32	7,185	162,48	41,215	129,203	119,33	121,250
33	142,110	6,31	7,173	40,34	84,283	155,42
34	74,57	160,266	161,57	61,219	148,175	79,51
35	18,116	51,72	36,284	134,116	158,219	144,196
36	98,151	2,51	175,159	113,105	146,202	177,124
37	29,49	109,19	85,188	137,164	77,212	91,42
38	130,63	140,212	194,87	5,196	2,190	1,35
39	149,259	18,101	34,89	117,229	103,232	185,7
40	33,68	85,47	42,176	115,150	167,169	149,14
41	168,162	34,120	190,196	183,133	83,38	98,51
42	93,137	100,205	116,37	127,179	119,19	157,201
43	142,86	75,163	68,162	41,145	85,16	156,104
44	117,150	190,178	175,216	199,16	127,174	133,136
45	119,171	136,117	178,52	65,243	155,94	193,121
46	150,240	187,149	73,31	93,149	77,90	78,253
47	139,194	186,69	149,163	191,44	116,167	8,208
48	126,137	124,269	150,86	45,201	155,104	117,114
49	28,79	142,118	158,203	61,281	107,152	21,234
50	112,228	154,105	33,196	131,61	193,286	149,241
51	185,91	105,247	87,155	48,105	8,61	89,13
52	139,16	86,204	194,45	129,104	18,160	103,183
53	145,34	40,131	32,13	14,1	117,209	51,211
54	155,203	199,122	152,112	32,201	175,72	122,29
55	179,72	181,33	101,84	137,60	46,117	4,59
56	53,214	16,7	44,168	68,64	52,41	39,86
57	180,271	121,81	17,101	18,228	119,5	167,250
58	38,41	189,113	84,139	189,272	71,225	112,247
59	194,126	168,234	104,72	138,7	104,71	1,258
60	25,252	170,223	29,169	49,160	90,173	13,37
61	182,263	197,76	6,7	180,82	188,94	165,202
62	91,114	197,131	84,79	134,32	161,38	57,285
63	168,106	115,115	67,75	168,68	125,240	47,63
64	194,154	172,197	200,110	151,192	50,11	175,274
65	2,269	38,10	16,205	179,103	115,140	127,186
