512 5989
1 141 -3
1 424 -83
1 395 94
1 77 -35
1 491 -25
1 231 -53
1 471 85
1 83 26
1 390 -2
1 359 -82
1 341 -21
1 471 86
1 33 96
1 306 67
1 367 54
1 459 97
1 464 -16
1 156 -70
1 267 -41
1 232 -27
1 479 73
1 372 25
1 268 -11
2 424 -98
2 15 45
2 352 -41
2 247 38
2 369 -12
2 511 -69
2 320 23
2 447 -63
2 263 29
2 171 -56
2 180 22
2 228 38
2 376 -40
2 67 -47
2 500 94
2 319 73
2 305 -25
2 234 8
2 70 -90
2 279 -97
2 69 -5
2 207 11
2 126 -75
3 16 -57
3 6 45
3 342 -72
3 465 -35
3 209 67
3 228 -53
3 465 -60
3 142 -47
3 17 -76
3 32 24
3 34 74
3 421 -40
3 437 56
3 456 -66
3 476 83
3 512 89
3 146 -58
3 348 -81
3 181 -56
3 56 80
3 446 -43
3 94 91
3 286 -11
4 221 48
4 270 -32
4 276 -75
4 491 28
4 314 -90
4 236 -78
4 405 11
4 214 -68
4 207 -54
4 76 62
4 158 -46
4 224 20
4 176 -65
4 319 78
4 122 94
4 178 43
4 359 -45
4 112 -49
4 457 66
4 268 47
4 481 73
4 101 84
5 212 -18
5 183 -54
5 463 -24
5 453 -54
5 187 5
5 321 -18
5 504 -26
5 455 -6
5 309 -12
5 141 55
5 191 -10
5 95 -7
5 244 -33
5 276 -94
5 431 -85
5 276 -23
5 462 -7
5 155 -64
5 36 -90
5 202 72
5 126 -35
5 487 -63
5 391 87
6 344 76
6 442 -81
6 238 39
6 122 46
6 388 99
6 500 -50
6 17 -9
6 32 -32
6 507 -41
6 166 65
6 339 57
6 248 3
6 508 -22
6 388 -4
6 76 -38
6 379 29
6 303 93
6 157 -60
6 341 -16
6 17 -59
6 368 -15
6 387 -71
6 491 -40
7 504 45
7 367 38
7 72 26
7 394 6
7 364 86
7 264 84
7 215 -92
7 293 2
7 273 -99
7 183 4
7 462 -26
7 112 51
7 476 -76
7 477 -10
7 34 -46
7 104 91
7 289 40
7 482 77
7 154 -73
7 36 -14
7 238 -32
7 336 9
7 328 5
8 72 62
8 165 -57
8 415 46
8 488 48
8 288 -89
8 138 -13
8 63 4
8 34 -93
8 388 -82
8 85 -39
8 501 -27
8 90 -71
8 128 -97
8 512 13
8 468 43
8 177 88
8 373 41
8 295 -52
8 62 -57
8 212 99
8 238 58
8 109 38
8 226 -27
9 290 -42
9 460 64
9 290 -29
9 200 88
9 343 -81
9 478 -20
9 401 -2
9 339 88
9 146 75
9 156 37
9 206 1
9 211 53
9 56 64
9 498 -6
9 122 21
9 305 89
9 111 -76
9 255 91
9 339 33
9 441 -86
9 389 43
9 255 -100
9 146 -39
10 266 64
10 353 -73
10 486 -30
10 322 -40
10 71 -91
10 371 73
10 108 -53
10 455 28
10 130 97
10 121 -23
10 15 -42
10 301 -28
10 58 79
10 326 31
10 307 82
10 368 -33
10 118 -40
10 338 -44
10 248 -70
10 194 97
10 165 19
10 65 -30
10 467 -51
11 191 -29
11 418 52
11 205 70
11 465 -64
11 184 12
11 285 4
11 422 37
11 82 -47
11 508 62
11 259 -7
11 17 49
11 61 85
11 23 -3
11 483 -67
11 380 -29
11 14 69
11 231 -81
11 498 97
11 152 22
11 132 43
11 412 19
12 46 52
12 282 -82
12 156 -49
12 93 40
12 39 -21
12 64 -100
12 362 -68
12 478 44
12 484 -54
12 382 15
12 108 -10
12 500 -98
12 328 -52
12 123 1
12 376 -32
12 44 76
12 323 75
12 428 59
12 199 -69
12 496 -83
12 358 60
12 240 -36
13 44 54
13 503 -71
13 384 93
13 337 21
